instrument,ema_session_definition,ema_span,approach_side,time_stratum,year,n_events,same_bar_rej_minus_brk,barrier0.5_rej_minus_brk_first_rate,barrier1.0_rej_minus_brk_first_rate,median_signed_close_atr,sign
ES,FULL_SESSION_EMA,22,FROM_BELOW,AFTERNOON,2021,151,0.019867549668874173,0.0728476821192053,0.09933774834437085,-0.07412986760574906,-1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,AFTERNOON,2022,183,0.03825136612021858,0.04371584699453552,-0.0546448087431694,-0.08059712130279177,-1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,ALL_RTH,2018,604,0.046357615894039736,0.06291390728476821,0.07781456953642384,0.10621180015518882,1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,ALL_RTH,2019,584,0.023972602739726026,0.053082191780821915,0.010273972602739725,-0.07701070810856547,-1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,ALL_RTH,2020,566,0.02120141342756184,0.05653710247349823,0.06713780918727916,-0.20388835806935202,-1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,ALL_RTH,2021,532,-0.045112781954887216,-0.03759398496240601,0.045112781954887216,-0.15326103340955394,-1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,ALL_RTH,2022,614,0.03908794788273615,0.026058631921824105,-0.004885993485342019,-0.02531524620472671,-1.0
ES,RTH_EMA,20,FROM_ABOVE,OPEN,2018,85,0.08235294117647059,0.08235294117647059,0.23529411764705882,0.5158150856689834,1.0
ES,RTH_EMA,20,FROM_ABOVE,OPEN,2019,62,0.1935483870967742,0.14516129032258066,0.016129032258064516,0.20480415193227627,1.0
ES,RTH_EMA,20,FROM_ABOVE,OPEN,2020,57,-0.05263157894736842,-0.15789473684210525,-0.22807017543859648,-0.41786331297120843,-1.0
ES,RTH_EMA,20,FROM_ABOVE,OPEN,2021,69,0.043478260869565216,0.2753623188405797,0.2463768115942029,0.5662180743831045,1.0
ES,RTH_EMA,20,FROM_ABOVE,OPEN,2022,61,0.01639344262295082,0.03278688524590164,-0.06557377049180328,-0.23066115062453155,-1.0
ES,RTH_EMA,20,FROM_ABOVE,MID_MORNING,2018,147,-0.061224489795918366,-0.05442176870748299,-0.06802721088435375,0.01921505780693596,1.0
ES,RTH_EMA,20,FROM_ABOVE,MID_MORNING,2019,126,0.1746031746031746,-0.015873015873015872,-0.14285714285714285,-0.16466440786627407,-1.0
ES,RTH_EMA,20,FROM_ABOVE,MID_MORNING,2020,153,0.12418300653594772,0.12418300653594772,-0.006535947712418301,0.17711808937507637,1.0
ES,RTH_EMA,20,FROM_ABOVE,MID_MORNING,2021,134,0.1791044776119403,0.06716417910447761,-0.029850746268656716,0.021915885805856232,1.0
ES,RTH_EMA,20,FROM_ABOVE,MID_MORNING,2022,120,-0.08333333333333333,-0.11666666666666667,-0.125,-0.0027848796396633987,-1.0
ES,RTH_EMA,20,FROM_ABOVE,MIDDAY,2018,184,0.11956521739130435,0.059782608695652176,0.010869565217391304,-0.17708679821220463,-1.0
ES,RTH_EMA,20,FROM_ABOVE,MIDDAY,2019,214,0.16822429906542055,0.1542056074766355,0.12149532710280374,0.13643774710772488,1.0
ES,RTH_EMA,20,FROM_ABOVE,MIDDAY,2020,234,0.07692307692307693,0.20085470085470086,0.11965811965811966,0.1443783415770607,1.0
ES,RTH_EMA,20,FROM_ABOVE,MIDDAY,2021,204,0.0784313725490196,0.024509803921568627,0.029411764705882353,0.09286641358183323,1.0
ES,RTH_EMA,20,FROM_ABOVE,MIDDAY,2022,190,0.010526315789473684,0.02631578947368421,-0.06315789473684211,-0.20365418544579553,-1.0
ES,RTH_EMA,20,FROM_ABOVE,AFTERNOON,2018,225,0.06666666666666667,0.04888888888888889,0.044444444444444446,0.26116295637357456,1.0
ES,RTH_EMA,20,FROM_ABOVE,AFTERNOON,2019,258,-0.015503875968992248,0.07751937984496124,0.12015503875968993,0.2928431188245079,1.0
ES,RTH_EMA,20,FROM_ABOVE,AFTERNOON,2020,225,-0.10222222222222223,-0.06222222222222222,-0.013333333333333334,0.015675347474578785,1.0
