session_date,n_bars,n_valid_z1,n_ev_k1,n_ev_k3
2019-08-02,1365,1360,182,210
2019-08-05,1365,1360,236,299
2019-08-06,1365,1364,375,485
2019-08-07,1365,1364,266,316
2019-08-08,1365,1363,132,192
2019-08-09,1365,1362,140,185
2019-08-12,1364,1360,132,169
2019-08-13,1364,1362,169,189
2019-08-14,1365,1363,205,241
2019-08-15,1365,1362,279,352
2019-08-16,1365,1360,77,112
2019-08-19,1364,1361,38,64
2019-08-20,1365,1362,58,65
2019-08-21,1365,1360,33,34
2019-08-22,1365,1363,63,73
2019-08-23,1364,1360,146,169
2019-08-26,1365,1362,253,285
2019-08-27,1365,1360,117,166
2019-08-28,1364,1361,90,119
2019-08-29,1364,1360,62,77
2019-08-30,1364,1360,45,65
2019-09-02,1140,1134,51,77
2019-09-03,1365,1362,114,151
2019-09-04,1365,1364,42,53
2019-09-05,1364,1361,57,61
2019-09-06,1365,1364,39,50
2019-09-09,1364,1359,13,18
2019-09-10,1362,1357,34,35
2019-09-11,1365,1361,27,43
2019-09-12,1364,1361,58,73
2019-09-13,1353,1349,18,15
2019-09-16,1364,1360,53,72
2019-09-17,1365,1362,18,18
2019-09-18,1362,1359,36,37
2019-09-19,1365,1362,25,31
2019-09-20,1362,1358,31,32
2019-09-23,1365,1362,36,52
2019-09-24,1365,1363,73,87
2019-09-25,1365,1363,48,66
2019-09-26,1363,1361,40,56
2019-09-27,1365,1363,48,88
2019-09-30,1365,1362,36,49
2019-10-01,1364,1362,47,48
2019-10-02,1365,1363,70,94
2019-10-03,1365,1363,83,124
2019-10-04,1365,1363,46,61
2019-10-07,1364,1361,46,45
2019-10-08,1365,1363,91,92
2019-10-09,1365,1364,94,101
2019-10-10,1365,1364,145,190
2019-10-11,1365,1362,61,78
2019-10-14,1365,1362,34,51
2019-10-15,1364,1361,29,22
2019-10-16,1365,1362,20,36
2019-10-17,1362,1360,22,20
2019-10-18,1364,1362,14,27
2019-10-21,1364,1362,8,10
2019-10-22,1362,1360,13,18
2019-10-23,1364,1363,21,19
2019-10-24,1363,1360,8,11
2019-10-25,1362,1361,4,4
2019-10-28,1363,1360,8,2
2019-10-29,1362,1360,9,7
2019-10-30,1361,1357,17,16
2019-10-31,1365,1363,33,27
2019-11-01,1365,1360,10,11
2019-11-04,1360,1354,5,7
2019-11-05,1364,1359,14,20
2019-11-06,1365,1359,9,8
2019-11-07,1362,1359,25,33
2019-11-08,1365,1361,20,30
2019-11-11,1365,1359,10,7
2019-11-12,1364,1356,17,23
2019-11-13,1365,1356,18,21
2019-11-14,1363,1357,27,30
2019-11-15,1364,1359,19,18
2019-11-18,1365,1360,27,28
2019-11-19,1365,1357,13,13
2019-11-20,1366,1362,72,87
2019-11-21,1365,1360,46,81
2019-11-22,1364,1355,12,18
2019-11-25,1364,1355,11,4
2019-11-26,1364,1357,21,24
2019-11-27,1364,1353,11,3
2019-11-28,1136,1123,12,16
2019-11-29,1152,1145,23,7
2019-12-02,1362,1350,51,63
2019-12-03,1365,1351,78,105
2019-12-04,1365,1355,63,87
2019-12-05,1365,1351,37,47
2019-12-06,1364,1342,15,26
2019-12-09,1364,1350,20,17
2019-12-10,1365,1350,54,69
2019-12-11,1365,1348,32,30
2019-12-12,1361,1343,73,73
2019-12-13,1365,1350,81,91
2019-12-16,1364,1355,26,13
2019-12-17,1365,1352,23,11
2019-12-18,1358,1342,15,5
2019-12-19,1362,1345,15,5
2019-12-20,1356,1340,19,5
2019-12-23,1364,1342,13,2
2019-12-24,1143,1123,13,0
2019-12-26,1314,1290,7,1
2019-12-27,1365,1342,19,9
2019-12-30,1361,1330,33,28
2019-12-31,1354,1330,28,20
2020-01-02,1363,1337,35,33
2020-01-03,1365,1355,157,234
2020-01-06,1365,1349,84,131
2020-01-07,1365,1344,80,105
2020-01-08,1365,1354,212,305
2020-01-09,1365,1348,66,72
2020-01-10,1365,1336,58,46
2020-01-13,1365,1334,34,32
2020-01-14,1365,1346,102,108
2020-01-15,1364,1344,80,98
2020-01-16,1364,1344,46,29
2020-01-17,1363,1336,55,30
2020-01-20,1125,1093,23,10
2020-01-21,1364,1344,76,82
2020-01-22,1365,1346,69,47
2020-01-23,1365,1340,79,129
2020-01-24,1359,1336,131,148
2020-01-27,1365,1350,223,340
2020-01-28,1365,1353,125,210
2020-01-29,1364,1347,103,132
2020-01-30,1365,1356,221,358
2020-01-31,1365,1357,245,334
2020-02-03,1365,1355,182,305
2020-02-04,1365,1357,108,190
2020-02-05,1365,1358,142,217
2020-02-06,1365,1355,98,154
2020-02-07,1363,1355,107,190
2020-02-10,1365,1357,120,188
2020-02-11,1365,1350,53,74
2020-02-12,1364,1351,29,55
2020-02-13,1365,1355,86,133
2020-02-14,1365,1360,54,71
2020-02-17,1140,1135,20,14
2020-02-18,1365,1357,58,93
2020-02-19,1365,1358,27,28
2020-02-20,1365,1356,129,163
2020-02-21,1365,1360,146,229
2020-02-24,1365,1363,367,487
2020-02-25,1365,1360,449,548
2020-02-26,1365,1362,618,703
2020-02-27,1365,1362,679,814
2020-02-28,1019,1018,639,717
2020-03-02,1365,1364,810,917
2020-03-03,1365,1364,772,860
2020-03-04,1365,1364,587,648
2020-03-05,1365,1363,519,604
2020-03-06,1365,1364,684,733
2020-03-09,1160,1159,438,437
2020-03-10,1365,1364,814,901
2020-03-11,1365,1364,825,862
2020-03-12,1341,1340,807,826
2020-03-13,1347,1346,846,890
2020-03-16,759,758,337,310
2020-03-17,1328,1327,860,921
2020-03-18,1057,1056,576,585
2020-03-19,1365,1364,976,1008
2020-03-20,1365,1364,845,865
2020-03-23,1345,1344,790,839
2020-03-24,1342,1341,659,678
2020-03-25,1365,1364,752,751
2020-03-26,1365,1364,656,690
2020-03-27,1365,1364,608,581
2020-03-30,1366,1364,466,476
2020-03-31,1366,1364,310,290
2020-04-01,1366,1364,321,333
2020-04-02,1366,1364,298,288
2020-04-03,1365,1364,228,227
2020-04-06,1365,1364,190,195
2020-04-07,1365,1364,305,287
2020-04-08,1365,1364,262,244
2020-04-09,1365,1364,204,186
2020-04-13,1365,1364,97,94
2020-04-14,1365,1364,68,68
2020-04-15,1365,1364,64,48
2020-04-16,1365,1364,90,78
2020-04-17,1365,1364,70,58
2020-04-20,1365,1364,49,47
2020-04-21,1365,1364,104,99
2020-04-22,1365,1364,38,46
2020-04-23,1365,1364,32,31
2020-04-24,1365,1364,24,18
2020-04-27,1365,1364,21,17
2020-04-28,1365,1364,17,15
2020-04-29,1365,1364,17,27
2020-04-30,1365,1364,30,29
2020-05-01,1365,1364,12,11
2020-05-04,1365,1364,25,10
2020-05-05,1365,1364,14,11
2020-05-06,1365,1364,10,8
2020-05-07,1365,1364,5,12
2020-05-08,1365,1364,2,5
2020-05-11,1365,1364,4,3
2020-05-12,1365,1364,9,7
2020-05-13,1365,1364,14,18
2020-05-14,1365,1364,19,22
2020-05-15,1365,1364,21,12
2020-05-18,1365,1364,3,3
2020-05-19,1365,1364,5,6
2020-05-20,1365,1364,4,1
2020-05-21,1365,1364,0,0
2020-05-22,1365,1364,4,6
2020-05-25,1139,1138,4,4
2020-05-26,1365,1364,1,1
2020-05-27,1365,1364,2,4
2020-05-28,1365,1364,15,11
2020-05-29,1365,1364,16,21
2020-06-01,1365,1364,13,9
2020-06-02,1365,1364,2,1
2020-06-03,1365,1364,1,2
2020-06-04,1365,1364,3,3
2020-06-05,1365,1364,13,12
2020-06-08,1365,1364,5,5
2020-06-09,1365,1364,1,4
2020-06-10,1365,1364,23,26
2020-06-11,1365,1364,65,69
2020-06-12,1365,1364,120,121
2020-06-15,1365,1364,130,102
2020-06-16,1365,1364,75,67
2020-06-17,1365,1364,55,43
2020-06-18,1365,1364,57,44
2020-06-19,1365,1364,42,41
2020-06-22,1365,1364,28,24
2020-06-23,1365,1364,55,54
2020-06-24,1365,1364,40,50
2020-06-25,1365,1364,69,65
2020-06-26,1365,1364,36,27
2020-06-29,1365,1364,46,40
2020-06-30,971,970,9,7
2020-07-01,1245,1244,18,14
2020-07-02,1365,1364,10,6
2020-07-03,1140,1139,3,4
2020-07-06,1365,1364,12,9
2020-07-07,1365,1364,15,12
2020-07-08,1365,1364,21,19
2020-07-09,1365,1364,28,25
2020-07-10,1365,1364,34,31
2020-07-13,1365,1364,21,27
2020-07-14,1365,1364,65,61
2020-07-15,1365,1364,42,34
2020-07-16,1365,1364,32,17
2020-07-17,1365,1364,7,6
2020-07-20,1365,1364,16,8
2020-07-21,1365,1364,5,7
2020-07-22,1365,1364,20,6
2020-07-23,1365,1364,32,24
2020-07-24,1365,1364,39,30
2020-07-27,1365,1364,22,14
2020-07-28,1365,1364,14,7
2020-07-29,1365,1364,8,4
2020-07-30,1365,1364,36,30
2020-07-31,1365,1364,49,24
2020-08-03,1365,1364,22,12
2020-08-04,1364,1363,7,6
2020-08-05,1365,1364,3,3
2020-08-06,1365,1364,14,9
2020-08-07,1365,1364,29,31
2020-08-10,1365,1364,9,6
2020-08-11,1365,1364,21,16
2020-08-12,1365,1364,36,26
2020-08-13,1365,1364,18,12
2020-08-14,1365,1364,12,9
2020-08-17,1364,1363,1,1
2020-08-18,1365,1364,7,5
2020-08-19,1365,1364,7,5
2020-08-20,1365,1364,29,10
