instrument,level_id,horizon,b,n,continuation_first_rate,reversal_first_rate,same_bar_tie_rate,neither_rate
ES,UPPER_k2,120,0.5,926,0.36285097192224625,0.34773218142548595,0.2894168466522678,0.0
ES,UPPER_k3,1,0.5,844,0.33767772511848343,0.35545023696682465,0.278436018957346,0.02843601895734597
ES,UPPER_k3,2,0.5,844,0.3447867298578199,0.36492890995260663,0.278436018957346,0.011848341232227487
ES,UPPER_k3,3,0.5,844,0.3471563981042654,0.3684834123222749,0.278436018957346,0.005924170616113744
ES,UPPER_k3,4,0.5,844,0.3495260663507109,0.3696682464454976,0.278436018957346,0.002369668246445498
ES,UPPER_k3,5,0.5,844,0.35071090047393366,0.3696682464454976,0.278436018957346,0.001184834123222749
ES,UPPER_k3,10,0.5,844,0.35071090047393366,0.3708530805687204,0.278436018957346,0.0
ES,UPPER_k3,15,0.5,844,0.35071090047393366,0.3708530805687204,0.278436018957346,0.0
ES,UPPER_k3,20,0.5,844,0.35071090047393366,0.3708530805687204,0.278436018957346,0.0
ES,UPPER_k3,30,0.5,844,0.35071090047393366,0.3708530805687204,0.278436018957346,0.0
ES,UPPER_k3,60,0.5,844,0.35071090047393366,0.3708530805687204,0.278436018957346,0.0
ES,UPPER_k3,120,0.5,844,0.35071090047393366,0.3708530805687204,0.278436018957346,0.0
NQ,LOWER_k0,1,0.5,1077,0.3268337975858867,0.33147632311977715,0.3361188486536676,0.005571030640668524
NQ,LOWER_k0,2,0.5,1077,0.3305478180129991,0.33147632311977715,0.3361188486536676,0.0018570102135561746
NQ,LOWER_k0,3,0.5,1077,0.33147632311977715,0.33147632311977715,0.3361188486536676,0.0009285051067780873
NQ,LOWER_k0,4,0.5,1077,0.33147632311977715,0.33240482822655526,0.3361188486536676,0.0
NQ,LOWER_k0,5,0.5,1077,0.33147632311977715,0.33240482822655526,0.3361188486536676,0.0
NQ,LOWER_k0,10,0.5,1077,0.33147632311977715,0.33240482822655526,0.3361188486536676,0.0
NQ,LOWER_k0,15,0.5,1077,0.33147632311977715,0.33240482822655526,0.3361188486536676,0.0
NQ,LOWER_k0,20,0.5,1077,0.33147632311977715,0.33240482822655526,0.3361188486536676,0.0
NQ,LOWER_k0,30,0.5,1077,0.33147632311977715,0.33240482822655526,0.3361188486536676,0.0
NQ,LOWER_k0,60,0.5,1077,0.33147632311977715,0.33240482822655526,0.3361188486536676,0.0
NQ,LOWER_k0,120,0.5,1077,0.33147632311977715,0.33240482822655526,0.3361188486536676,0.0
NQ,LOWER_k1,1,0.5,987,0.3242147922998987,0.3191489361702128,0.3434650455927052,0.013171225937183385
NQ,LOWER_k1,2,0.5,987,0.331306990881459,0.3242147922998987,0.3434650455927052,0.0010131712259371835
NQ,LOWER_k1,3,0.5,987,0.331306990881459,0.3252279635258359,0.3434650455927052,0.0
NQ,LOWER_k1,4,0.5,987,0.331306990881459,0.3252279635258359,0.3434650455927052,0.0
NQ,LOWER_k1,5,0.5,987,0.331306990881459,0.3252279635258359,0.3434650455927052,0.0
NQ,LOWER_k1,10,0.5,987,0.331306990881459,0.3252279635258359,0.3434650455927052,0.0
NQ,LOWER_k1,15,0.5,987,0.331306990881459,0.3252279635258359,0.3434650455927052,0.0
NQ,LOWER_k1,20,0.5,987,0.331306990881459,0.3252279635258359,0.3434650455927052,0.0
NQ,LOWER_k1,30,0.5,987,0.331306990881459,0.3252279635258359,0.3434650455927052,0.0
NQ,LOWER_k1,60,0.5,987,0.331306990881459,0.3252279635258359,0.3434650455927052,0.0
NQ,LOWER_k1,120,0.5,987,0.331306990881459,0.3252279635258359,0.3434650455927052,0.0
NQ,LOWER_k2,1,0.5,906,0.3322295805739514,0.3543046357615894,0.2969094922737307,0.016556291390728478
NQ,LOWER_k2,2,0.5,906,0.33885209713024284,0.3598233995584989,0.2969094922737307,0.004415011037527594
NQ,LOWER_k2,3,0.5,906,0.34105960264900664,0.3609271523178808,0.2969094922737307,0.0011037527593818985
NQ,LOWER_k2,4,0.5,906,0.34105960264900664,0.3620309050772627,0.2969094922737307,0.0
NQ,LOWER_k2,5,0.5,906,0.34105960264900664,0.3620309050772627,0.2969094922737307,0.0
NQ,LOWER_k2,10,0.5,906,0.34105960264900664,0.3620309050772627,0.2969094922737307,0.0
NQ,LOWER_k2,15,0.5,906,0.34105960264900664,0.3620309050772627,0.2969094922737307,0.0
NQ,LOWER_k2,20,0.5,906,0.34105960264900664,0.3620309050772627,0.2969094922737307,0.0
NQ,LOWER_k2,30,0.5,906,0.34105960264900664,0.3620309050772627,0.2969094922737307,0.0
NQ,LOWER_k2,60,0.5,906,0.34105960264900664,0.3620309050772627,0.2969094922737307,0.0
NQ,LOWER_k2,120,0.5,906,0.34105960264900664,0.3620309050772627,0.2969094922737307,0.0
NQ,LOWER_k3,1,0.5,829,0.33896260554885405,0.3353437876960193,0.316043425814234,0.009650180940892641
NQ,LOWER_k3,2,0.5,829,0.3413751507840772,0.3365500603136309,0.316043425814234,0.006031363088057901
NQ,LOWER_k3,3,0.5,829,0.34378769601930037,0.33896260554885405,0.316043425814234,0.0012062726176115801
NQ,LOWER_k3,4,0.5,829,0.34499396863691195,0.33896260554885405,0.316043425814234,0.0
NQ,LOWER_k3,5,0.5,829,0.34499396863691195,0.33896260554885405,0.316043425814234,0.0
NQ,LOWER_k3,10,0.5,829,0.34499396863691195,0.33896260554885405,0.316043425814234,0.0
NQ,LOWER_k3,15,0.5,829,0.34499396863691195,0.33896260554885405,0.316043425814234,0.0
NQ,LOWER_k3,20,0.5,829,0.34499396863691195,0.33896260554885405,0.316043425814234,0.0
NQ,LOWER_k3,30,0.5,829,0.34499396863691195,0.33896260554885405,0.316043425814234,0.0
