instrument,level_id,year,activation_window,horizon,touches,continuation_first_rate,reversal_first_rate,cont_minus_rev_diff,median_signed_close,same_bar_reversal_rate,same_bar_blast_through_rate,mean_annual_effect,sd_annual_effect,n_years_within_1sd,n_years_with_pooled_sign,max_annual_effect,min_annual_effect,is_2020_largest_abs,one_year_gt_35pct_touches
NQ,LOWER_k3,2018,1,1,13,0.0,0.6153846153846154,-0.6153846153846154,-9.304011082823308,0.6923076923076923,0.3076923076923077,-0.18974358974358974,0.2919957990790551,3,3,0.125,-0.6153846153846154,False,False
NQ,LOWER_k3,2019,1,1,9,0.3333333333333333,0.3333333333333333,0.0,1.3673858320607906,0.6666666666666666,0.3333333333333333,-0.18974358974358974,0.2919957990790551,3,3,0.125,-0.6153846153846154,False,False
NQ,LOWER_k3,2020,1,1,9,0.2222222222222222,0.5555555555555556,-0.3333333333333333,-10.27523291588659,0.6666666666666666,0.3333333333333333,-0.18974358974358974,0.2919957990790551,3,3,0.125,-0.6153846153846154,False,False
NQ,LOWER_k3,2021,1,1,8,0.375,0.25,0.125,8.216369285152723,0.75,0.25,-0.18974358974358974,0.2919957990790551,3,3,0.125,-0.6153846153846154,False,False
NQ,LOWER_k3,2022,1,1,8,0.375,0.5,-0.125,-6.316145560969744,0.75,0.25,-0.18974358974358974,0.2919957990790551,3,3,0.125,-0.6153846153846154,False,False
NQ,UPPER_k0,2018,1,1,114,0.375,0.3482142857142857,0.026785714285714284,0.09999999999990905,0.4473684210526316,0.5526315789473685,0.08105394323954161,0.03901266236334269,3,5,0.13675213675213677,0.026785714285714284,False,False
NQ,UPPER_k0,2019,1,1,103,0.43137254901960786,0.35294117647058826,0.0784313725490196,0.962500000000091,0.4117647058823529,0.5882352941176471,0.08105394323954161,0.03901266236334269,3,5,0.13675213675213677,0.026785714285714284,False,False
NQ,UPPER_k0,2020,1,1,109,0.4095238095238095,0.3238095238095238,0.08571428571428572,2.774999999999636,0.47706422018348627,0.5229357798165137,0.08105394323954161,0.03901266236334269,3,5,0.13675213675213677,0.026785714285714284,False,False
NQ,UPPER_k0,2021,1,1,117,0.4396551724137931,0.3620689655172414,0.07758620689655173,2.362500000000182,0.452991452991453,0.5470085470085471,0.08105394323954161,0.03901266236334269,3,5,0.13675213675213677,0.026785714285714284,False,False
NQ,UPPER_k0,2022,1,1,117,0.4700854700854701,0.3333333333333333,0.13675213675213677,6.25,0.452991452991453,0.5470085470085471,0.08105394323954161,0.03901266236334269,3,5,0.13675213675213677,0.026785714285714284,False,False
NQ,UPPER_k1,2018,1,1,48,0.5,0.3333333333333333,0.16666666666666666,1.9353977111541099,0.4791666666666667,0.5208333333333334,0.09880481837003577,0.12980462249659544,4,4,0.21739130434782608,-0.11363636363636363,False,False
NQ,UPPER_k1,2019,1,1,44,0.36363636363636365,0.4772727272727273,-0.11363636363636363,-0.35149068324653854,0.5681818181818182,0.4318181818181818,0.09880481837003577,0.12980462249659544,4,4,0.21739130434782608,-0.11363636363636363,False,False
NQ,UPPER_k1,2020,1,1,44,0.38095238095238093,0.30952380952380953,0.07142857142857142,2.3812611952253064,0.5227272727272727,0.4772727272727273,0.09880481837003577,0.12980462249659544,4,4,0.21739130434782608,-0.11363636363636363,False,False
NQ,UPPER_k1,2021,1,1,46,0.4782608695652174,0.2608695652173913,0.21739130434782608,2.8199028573708347,0.391304347826087,0.6086956521739131,0.09880481837003577,0.12980462249659544,4,4,0.21739130434782608,-0.11363636363636363,False,False
NQ,UPPER_k1,2022,1,1,46,0.4782608695652174,0.32608695652173914,0.15217391304347827,2.4128828900602457,0.43478260869565216,0.5652173913043478,0.09880481837003577,0.12980462249659544,4,4,0.21739130434782608,-0.11363636363636363,False,False
NQ,UPPER_k2,2018,1,1,19,0.2631578947368421,0.5263157894736842,-0.2631578947368421,-1.4918169659094929,0.5789473684210527,0.42105263157894735,-0.03671052631578947,0.22556120377449543,3,3,0.3,-0.2631578947368421,False,False
NQ,UPPER_k2,2019,1,1,19,0.3157894736842105,0.5263157894736842,-0.21052631578947367,0.16165434707363602,0.5789473684210527,0.42105263157894735,-0.03671052631578947,0.22556120377449543,3,3,0.3,-0.2631578947368421,False,False
