instrument,level_id,n_valid,n_touched,touch_rate,touch_by_30_rate,touch_by_60_rate,touch_by_120_rate
ES,upper_N5_ema_k0,1284,1143,0.8901869158878505,0.8200934579439252,0.8574766355140186,0.8901869158878505
ES,upper_N5_ema_k1,1284,1046,0.8146417445482866,0.7133956386292835,0.7710280373831776,0.8146417445482866
ES,upper_N5_ema_k2,1284,966,0.7523364485981309,0.6137071651090342,0.6947040498442367,0.7523364485981309
ES,upper_N5_ema_k3,1284,890,0.6931464174454829,0.5295950155763239,0.6238317757009346,0.6931464174454829
ES,upper_N5_mean_k0,1284,1146,0.8925233644859814,0.8286604361370716,0.8629283489096573,0.8925233644859814
ES,upper_N5_mean_k1,1284,1052,0.8193146417445483,0.7126168224299065,0.7733644859813084,0.8193146417445483
ES,upper_N5_mean_k2,1284,966,0.7523364485981309,0.6160436137071651,0.6947040498442367,0.7523364485981309
ES,upper_N5_mean_k3,1284,885,0.6892523364485982,0.5264797507788161,0.6191588785046729,0.6892523364485982
ES,upper_N5_median_k0,1284,1174,0.9143302180685359,0.8543613707165109,0.8839563862928349,0.9143302180685359
ES,upper_N5_median_k1,1284,1065,0.8294392523364486,0.7320872274143302,0.7858255451713395,0.8294392523364486
ES,upper_N5_median_k2,1284,984,0.7663551401869159,0.6292834890965732,0.706386292834891,0.7663551401869159
ES,upper_N5_median_k3,1284,897,0.6985981308411215,0.5381619937694704,0.6292834890965732,0.6985981308411215
NQ,ON_VWAP_0,1287,986,0.7661227661227661,0.6565656565656566,0.717948717948718,0.7661227661227661
NQ,ON_VWAP_m1,1287,906,0.703962703962704,0.5757575757575758,0.6433566433566433,0.703962703962704
NQ,ON_VWAP_m2,1287,718,0.5578865578865578,0.3962703962703963,0.4794094794094794,0.5578865578865578
NQ,ON_VWAP_m3,1287,524,0.40714840714840717,0.24164724164724163,0.32245532245532244,0.40714840714840717
NQ,ON_VWAP_p1,1287,941,0.7311577311577312,0.6216006216006216,0.6798756798756799,0.7311577311577312
NQ,ON_VWAP_p2,1287,736,0.5718725718725719,0.41802641802641805,0.4965034965034965,0.5718725718725719
NQ,ON_VWAP_p3,1287,528,0.41025641025641024,0.24397824397824397,0.3185703185703186,0.41025641025641024
NQ,PR_VWAP_0,1243,504,0.40547063555913115,0.27031375703942073,0.3411102172164119,0.40547063555913115
NQ,PR_VWAP_m1,1243,449,0.36122284794851167,0.24778761061946902,0.3081255028157683,0.36122284794851167
NQ,PR_VWAP_m2,1243,378,0.3041029766693483,0.1906677393403057,0.24617860016090104,0.3041029766693483
NQ,PR_VWAP_m3,1243,283,0.22767497988736926,0.12872083668543846,0.17216411906677392,0.22767497988736926
NQ,PR_VWAP_p1,1243,529,0.4255832662912309,0.29927594529364443,0.3563958165728077,0.4255832662912309
NQ,PR_VWAP_p2,1243,472,0.3797264682220434,0.2590506838294449,0.3145615446500402,0.3797264682220434
NQ,PR_VWAP_p3,1243,326,0.26226870474658087,0.17860016090104586,0.2236524537409493,0.26226870474658087
NQ,lower_N10_ema_k0,1277,1107,0.8668754894283477,0.8112764291307752,0.8472983555207517,0.8668754894283477
NQ,lower_N10_ema_k1,1277,1008,0.7893500391542678,0.7000783085356304,0.7509788566953798,0.7893500391542678
NQ,lower_N10_ema_k2,1277,927,0.725920125293657,0.6076742364917777,0.6765857478465153,0.725920125293657
