instrument,level_id,timing_bin,n
ES,lower_N20_ema_k0,MINUTES_61_TO_120,23
ES,lower_N20_ema_k0,MINUTES_6_TO_15,120
ES,lower_N20_ema_k1,BAR_0930,202
ES,lower_N20_ema_k1,MINUTES_16_TO_30,100
ES,lower_N20_ema_k1,MINUTES_2_TO_5,403
ES,lower_N20_ema_k1,MINUTES_31_TO_60,65
ES,lower_N20_ema_k1,MINUTES_61_TO_120,41
ES,lower_N20_ema_k1,MINUTES_6_TO_15,198
ES,lower_N20_ema_k2,BAR_0930,87
ES,lower_N20_ema_k2,MINUTES_16_TO_30,132
ES,lower_N20_ema_k2,MINUTES_2_TO_5,310
ES,lower_N20_ema_k2,MINUTES_31_TO_60,93
ES,lower_N20_ema_k2,MINUTES_61_TO_120,57
ES,lower_N20_ema_k2,MINUTES_6_TO_15,234
ES,lower_N20_ema_k3,BAR_0930,43
ES,lower_N20_ema_k3,MINUTES_16_TO_30,134
ES,lower_N20_ema_k3,MINUTES_2_TO_5,215
ES,lower_N20_ema_k3,MINUTES_31_TO_60,133
ES,lower_N20_ema_k3,MINUTES_61_TO_120,79
ES,lower_N20_ema_k3,MINUTES_6_TO_15,237
ES,lower_N20_mean_k0,BAR_0930,519
ES,lower_N20_mean_k0,MINUTES_16_TO_30,51
ES,lower_N20_mean_k0,MINUTES_2_TO_5,351
ES,lower_N20_mean_k0,MINUTES_31_TO_60,46
ES,lower_N20_mean_k0,MINUTES_61_TO_120,24
ES,lower_N20_mean_k0,MINUTES_6_TO_15,117
ES,lower_N20_mean_k1,BAR_0930,206
ES,lower_N20_mean_k1,MINUTES_16_TO_30,99
ES,lower_N20_mean_k1,MINUTES_2_TO_5,395
ES,lower_N20_mean_k1,MINUTES_31_TO_60,68
ES,lower_N20_mean_k1,MINUTES_61_TO_120,39
ES,lower_N20_mean_k1,MINUTES_6_TO_15,196
ES,lower_N20_mean_k2,BAR_0930,88
ES,lower_N20_mean_k2,MINUTES_16_TO_30,135
ES,lower_N20_mean_k2,MINUTES_2_TO_5,316
ES,lower_N20_mean_k2,MINUTES_31_TO_60,93
ES,lower_N20_mean_k2,MINUTES_61_TO_120,57
ES,lower_N20_mean_k2,MINUTES_6_TO_15,229
ES,lower_N20_mean_k3,BAR_0930,43
ES,lower_N20_mean_k3,MINUTES_16_TO_30,132
