instrument,level_id,n_reversal_proxy,n_blast_through_proxy,n_neutral,n_total_touch_bars,n_nonneutral,reversal_rate,blast_through_rate,neutral_rate,reversal_minus_blast_diff,p_raw,q_value,same_bar_classification
ES,lower_N20_median_k1,525,504,1,1030,1029,0.5097087378640777,0.4893203883495146,0.000970873786407767,0.020388349514563107,0.532989670768317,0.7990652397249605,SAME_BAR_MIXED
ES,lower_N20_median_k2,478,452,0,930,930,0.513978494623656,0.4860215053763441,0.0,0.02795698924731183,0.41235402614890204,0.757529536087832,SAME_BAR_MIXED
ES,lower_N20_median_k3,409,444,0,853,853,0.4794841735052755,0.5205158264947245,0.0,-0.041031652989449004,0.24435185079170568,0.6976497714531645,SAME_BAR_MIXED
ES,lower_N5_ema_k0,560,561,0,1121,1121,0.49955396966993754,0.5004460303300624,0.0,-0.0008920606601248885,1.0,1.0,SAME_BAR_MIXED
ES,lower_N5_ema_k1,539,500,0,1039,1039,0.5187680461982676,0.48123195380173245,0.0,0.03753609239653513,0.23842459602539814,0.6976497714531645,SAME_BAR_MIXED
ES,lower_N5_ema_k2,508,451,0,959,959,0.529718456725756,0.470281543274244,0.0,0.05943691345151199,0.0704989758608384,0.529562125836555,SAME_BAR_MIXED
ES,lower_N5_ema_k3,435,455,0,890,890,0.4887640449438202,0.5112359550561798,0.0,-0.02247191011235955,0.5242252220072938,0.7990652397249605,SAME_BAR_MIXED
ES,lower_N5_mean_k0,558,547,18,1123,1105,0.4968833481745325,0.4870881567230632,0.016028495102404273,0.009795191451469279,0.7635610942145197,0.8566635667880358,SAME_BAR_MIXED
ES,lower_N5_mean_k1,533,496,3,1032,1029,0.5164728682170543,0.4806201550387597,0.0029069767441860465,0.035852713178294575,0.2617404672373116,0.6976497714531645,SAME_BAR_MIXED
ES,lower_N5_mean_k2,488,468,2,958,956,0.5093945720250522,0.48851774530271397,0.0020876826722338203,0.020876826722338204,0.5389044640005547,0.7990652397249605,SAME_BAR_MIXED
ES,lower_N5_mean_k3,438,448,2,888,886,0.49324324324324326,0.5045045045045045,0.0022522522522522522,-0.01126126126126126,0.7623966783476448,0.8566635667880358,SAME_BAR_MIXED
ES,lower_N5_median_k1,542,513,2,1057,1055,0.5127719962157048,0.4853358561967833,0.001892147587511826,0.027436140018921477,0.38867039359462646,0.757529536087832,SAME_BAR_MIXED
ES,lower_N5_median_k2,493,479,1,973,972,0.5066803699897225,0.49229188078108943,0.0010277492291880781,0.014388489208633094,0.6767181930922936,0.8434458638541631,SAME_BAR_MIXED
ES,lower_N5_median_k3,450,451,0,901,901,0.49944506104328523,0.5005549389567148,0.0,-0.0011098779134295228,1.0,1.0,SAME_BAR_MIXED
ES,upper_N10_ema_k0,564,575,0,1139,1139,0.495171202809482,0.504828797190518,0.0,-0.009657594381035996,0.7670127284032413,0.8566635667880358,SAME_BAR_MIXED
ES,upper_N10_ema_k1,518,524,0,1042,1042,0.4971209213051823,0.5028790786948176,0.0,-0.005758157389635317,0.876913993247347,0.931044486657677,SAME_BAR_MIXED
ES,upper_N10_ema_k2,483,458,0,941,941,0.5132837407013815,0.4867162592986185,0.0,0.026567481402763018,0.4340085223626741,0.7637413888836622,SAME_BAR_MIXED
ES,upper_N10_ema_k3,453,406,0,859,859,0.5273573923166472,0.47264260768335276,0.0,0.05471478463329453,0.11647966483749202,0.568716360377631,SAME_BAR_MIXED
ES,upper_N10_mean_k0,551,582,8,1141,1133,0.4829097283085013,0.5100788781770377,0.007011393514460999,-0.02716914986853637,0.3727949021302335,0.757529536087832,SAME_BAR_MIXED
ES,upper_N10_mean_k1,511,529,0,1040,1040,0.4913461538461538,0.5086538461538461,0.0,-0.01730769230769231,0.598112299718738,0.8434458638541631,SAME_BAR_MIXED
ES,upper_N10_mean_k2,478,461,0,939,939,0.5090521831735889,0.4909478168264111,0.0,0.01810436634717785,0.6015961884890617,0.8434458638541631,SAME_BAR_MIXED
ES,upper_N10_mean_k3,452,405,0,857,857,0.5274212368728122,0.4725787631271879,0.0,0.05484247374562427,0.11605389046478713,0.568716360377631,SAME_BAR_MIXED
ES,upper_N10_median_k0,561,545,55,1161,1106,0.48320413436692505,0.4694229112833764,0.047372954349698536,0.013781223083548665,0.6519812828901579,0.8434458638541631,SAME_BAR_MIXED
ES,upper_N10_median_k1,546,509,0,1055,1055,0.5175355450236967,0.4824644549763033,0.0,0.035071090047393366,0.2677028192785399,0.6976497714531645,SAME_BAR_MIXED
ES,upper_N10_median_k2,487,465,0,952,952,0.5115546218487395,0.4884453781512605,0.0,0.023109243697478993,0.4961361213004732,0.7757764805789217,SAME_BAR_MIXED
ES,upper_N10_median_k3,437,430,1,868,867,0.5034562211981567,0.49539170506912444,0.001152073732718894,0.008064516129032258,0.838547399430384,0.9065346019716867,SAME_BAR_MIXED
ES,upper_N20_ema_k0,540,579,0,1119,1119,0.48257372654155495,0.517426273458445,0.0,-0.03485254691689008,0.2559570211574697,0.6976497714531645,SAME_BAR_MIXED
ES,upper_N20_ema_k1,488,531,0,1019,1019,0.478900883218842,0.521099116781158,0.0,-0.042198233562315994,0.18824295369202895,0.6762518950518571,SAME_BAR_MIXED
ES,upper_N20_ema_k2,464,457,0,921,921,0.503800217155266,0.496199782844734,0.0,0.00760043431053203,0.8432880018341271,0.9065346019716867,SAME_BAR_MIXED
ES,upper_N20_ema_k3,436,404,0,840,840,0.5190476190476191,0.48095238095238096,0.0,0.0380952380952381,0.2847918536868596,0.720355865207939,SAME_BAR_MIXED
ES,upper_N20_mean_k0,530,583,7,1120,1113,0.4732142857142857,0.5205357142857143,0.00625,-0.04732142857142857,0.11903365682322509,0.568716360377631,SAME_BAR_MIXED
ES,upper_N20_mean_k1,493,520,0,1013,1013,0.4866732477788746,0.5133267522211253,0.0,-0.02665350444225074,0.41399869995497796,0.757529536087832,SAME_BAR_MIXED
ES,upper_N20_mean_k2,486,441,0,927,927,0.5242718446601942,0.47572815533980584,0.0,0.04854368932038835,0.1483761750932256,0.671597424106179,SAME_BAR_MIXED
