instrument,level_type,side,touch_sub,n_events,rotation_first_n,breakout_first_n,tie_n,neither_n,n_nontied,rotation_first_rate,breakout_first_rate,rot_minus_brk_first_rate,binom_p,sample_status,median_signed_close_atr_h5,median_rotation_exc_atr_h5,median_breakout_exc_atr_h5,median_dominance_h5,horizon_min,barrier,median_signed_close_atr_h10,median_rotation_exc_atr_h10,median_breakout_exc_atr_h10,median_dominance_h10,median_signed_close_atr_h15,median_rotation_exc_atr_h15,median_breakout_exc_atr_h15,median_dominance_h15,median_signed_close_atr_h30,median_rotation_exc_atr_h30,median_breakout_exc_atr_h30,median_dominance_h30,median_signed_close_atr_h60,median_rotation_exc_atr_h60,median_breakout_exc_atr_h60,median_dominance_h60
NQ,prev_rth_low,lower,TOUCH_CLOSE_INSIDE,92,64,3,23,0,67,0.6956521739130435,0.03260869565217391,0.6630434782608695,6.801200228001569e-16,OK,,,,,10,0.25,0.4449152542372881,2.1585262247924524,1.2431751021176625,0.28690301377526045,,,,,,,,,,,,
ES,overnight_high,upper,TOUCH_CLOSE_AT_LEVEL,58,36,16,5,0,52,0.6206896551724138,0.27586206896551724,0.3448275862068966,0.0077874363057435225,OK,,,,,10,0.5,0.3305785123966942,1.386138613861386,0.9876543209876544,0.23076923076923078,,,,,,,,,,,,
ES,overnight_high,upper,TOUCH_CLOSE_INSIDE,332,248,47,30,0,295,0.7469879518072289,0.14156626506024098,0.6054216867469879,3.750406168041657e-34,OK,,,,,10,0.5,0.39436619718309857,1.878453038674033,0.898876404494382,0.3333333333333333,,,,,,,,,,,,
ES,overnight_low,lower,TOUCH_CLOSE_AT_LEVEL,48,26,19,2,0,45,0.5416666666666666,0.3958333333333333,0.14583333333333334,0.3712980344710104,UNDERPOWERED,,,,,10,0.5,0.0,1.6216216216216217,1.0714285714285714,0.14285714285714288,,,,,,,,,,,,
ES,overnight_low,lower,TOUCH_CLOSE_INSIDE,259,190,40,22,0,230,0.7335907335907336,0.15444015444015444,0.5791505791505791,1.4372739187890842e-24,OK,,,,,10,0.5,0.6461244130094498,1.9652969362567156,0.8750341810226963,0.458041958041958,,,,,,,,,,,,
ES,prev_rth_high,upper,TOUCH_CLOSE_AT_LEVEL,115,67,35,10,0,102,0.5826086956521739,0.30434782608695654,0.2782608695652174,0.0019928055857140587,OK,,,,,10,0.5,0.0,1.2390350877192984,1.2325917887502262,0.0,,,,,,,,,,,,
ES,prev_rth_high,upper,TOUCH_CLOSE_INSIDE,371,288,43,30,0,331,0.7762803234501348,0.11590296495956873,0.660377358490566,1.153816413809746e-45,OK,,,,,10,0.5,0.42105263157894735,1.8181818181818183,0.7407407407407407,0.40740740740740744,,,,,,,,,,,,
ES,prev_rth_low,lower,TOUCH_CLOSE_AT_LEVEL,36,20,11,4,0,31,0.5555555555555556,0.3055555555555556,0.25,0.14961278438568115,UNDERPOWERED,,,,,10,0.5,0.5882352941176471,1.6666666666666665,1.8181818181818181,0.0,,,,,,,,,,,,
ES,prev_rth_low,lower,TOUCH_CLOSE_INSIDE,307,231,37,32,0,268,0.752442996742671,0.12052117263843648,0.6319218241042345,1.8634977481185508e-35,OK,,,,,10,0.5,0.7004845548152635,1.9165217391304348,0.7982300884955752,0.39999999999999997,,,,,,,,,,,,
NQ,overnight_high,upper,TOUCH_CLOSE_AT_LEVEL,6,4,2,0,0,6,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6875,UNDERPOWERED,,,,,10,0.5,-0.5535572178895432,1.2572215281849934,1.0428139423842113,0.023809523809523826,,,,,,,,,,,,
NQ,overnight_high,upper,TOUCH_CLOSE_INSIDE,131,109,15,7,0,124,0.8320610687022901,0.11450381679389313,0.7175572519083969,8.670257546981357e-19,OK,,,,,10,0.5,0.3007518796992481,1.7607771706132362,0.78125,0.36363636363636365,,,,,,,,,,,,
NQ,overnight_low,lower,TOUCH_CLOSE_AT_LEVEL,2,0,2,0,0,2,0.0,1.0,-1.0,0.5,UNDERPOWERED,,,,,10,0.5,-1.5757713477755895,0.5544614452355703,2.627127202949048,-0.6097297297297298,,,,,,,,,,,,
NQ,overnight_low,lower,TOUCH_CLOSE_INSIDE,87,62,12,10,0,74,0.7126436781609196,0.13793103448275862,0.5747126436781609,2.8555486161534813e-09,OK,,,,,10,0.5,0.9088190111070327,1.8164715719063547,1.318055712474422,0.1226768968456948,,,,,,,,,,,,
NQ,prev_rth_high,upper,TOUCH_CLOSE_AT_LEVEL,9,4,3,2,0,7,0.4444444444444444,0.3333333333333333,0.1111111111111111,1.0,UNDERPOWERED,,,,,10,0.5,0.3773584905660377,2.2878228782287824,1.1267605633802817,0.09999999999999999,,,,,,,,,,,,
NQ,prev_rth_high,upper,TOUCH_CLOSE_INSIDE,136,107,18,9,0,125,0.7867647058823529,0.1323529411764706,0.6544117647058824,1.3494093113112984e-16,OK,,,,,10,0.5,0.4853086827335754,1.79894917933696,0.887665494513941,0.3748388285135384,,,,,,,,,,,,
NQ,prev_rth_low,lower,TOUCH_CLOSE_AT_LEVEL,6,2,3,1,0,5,0.3333333333333333,0.5,-0.16666666666666666,1.0,UNDERPOWERED,,,,,10,0.5,-0.17341040462427745,0.9675199559592623,1.6829907942624704,-0.3816823899371069,,,,,,,,,,,,
NQ,prev_rth_low,lower,TOUCH_CLOSE_INSIDE,92,73,11,6,0,84,0.7934782608695652,0.11956521739130435,0.6739130434782609,2.2490938201170897e-12,OK,,,,,10,0.5,0.4449152542372881,2.1585262247924524,1.2431751021176625,0.28690301377526045,,,,,,,,,,,,
ES,overnight_high,upper,TOUCH_CLOSE_AT_LEVEL,58,31,24,1,1,55,0.5344827586206896,0.41379310344827586,0.1206896551724138,0.4187541882690154,OK,,,,,10,1.0,0.3305785123966942,1.386138613861386,0.9876543209876544,0.23076923076923078,,,,,,,,,,,,
