instrument,feature,window,horizon,target,n_valid,pearson_r,pearson_ci_lo,pearson_ci_hi,spearman_rho,spearman_ci_lo,spearman_ci_hi,p_raw_approx,significant_bonf,quintile_monotonicity_spearman,cov100_acc,cov50_acc,cov30_acc,cov15_acc,bull_bear_diff,bull_bear_diff_ci_lo,bull_bear_diff_ci_hi,spearman_drop_top_outlier
ES,signed_efficiency,1,15,R,1180,0.0006020848975577212,-0.051380136347003114,0.051543348725168095,-0.011700122939017918,-0.0651173511977187,0.04006384301596171,0.6966156010817479,False,,0.48879310344827587,0.4895833333333333,0.49707602339181284,0.5028901734104047,0.011017200602640428,-0.9604458876703568,1.204113121833041,-0.011341166535122866
ES,signed_efficiency,1,15,Q,1180,-0.015720899256513727,-0.07207311151298845,0.03699085778315556,-0.017386908845409558,-0.07436501711232384,0.03509197319729591,0.5622986454402046,False,,0.5017182130584192,0.4905335628227194,0.4813753581661891,0.52,-0.018991853887646116,-0.08481925806461532,0.058772817546167755,-0.01666105535590425
ES,signed_efficiency,1,30,R,1180,0.0392177726981489,-0.021751058533228857,0.09280317746763772,0.036441949831547873,-0.019642305795983535,0.0930927744654011,0.22441625615044192,False,,0.5077054794520548,0.5094664371772806,0.5201149425287356,0.5344827586206896,0.9398706281921652,-0.4092012493554455,2.286878292989263,0.03723678448469633
ES,signed_efficiency,1,30,Q,1180,0.003714226312640603,-0.04771219459128565,0.05749003892221717,0.0004833146034386258,-0.05225005363836267,0.05425419966052083,0.9871504908568074,False,,0.517948717948718,0.5085616438356164,0.5057471264367817,0.5057471264367817,0.004523439149907371,-0.06281144233137603,0.08266282620776451,0.0015373257756204064
ES,signed_efficiency,5,5,R,1240,0.01586564342816229,-0.042278550651776096,0.07242316774654081,0.01739569700061001,-0.038141327057677324,0.0729453369183916,0.552300648857385,False,0.3,0.5038167938931297,0.49755301794453505,0.5040650406504065,0.4702702702702703,0.20049102551342027,-0.3411414787996417,0.8553587202647556,0.018243916751956694
ES,signed_efficiency,5,5,Q,1240,-0.01173590282659243,-0.07161918423657873,0.04555724767344619,-0.01193138429935877,-0.0702326082479848,0.04266841668954086,0.6835610339212579,False,-0.49999999999999994,0.49363867684478374,0.48344370860927155,0.494475138121547,0.489010989010989,-0.0006147820515934148,-0.06715946225073173,0.07389424689385701,-0.011277647227155256
ES,signed_efficiency,5,10,R,1240,0.027471250019806416,-0.025197311892994814,0.08373164030416078,0.0206510989007225,-0.03348463655628021,0.07689205013987445,0.4804588950155795,False,0.3,0.48646362098138746,0.5147540983606558,0.5205479452054794,0.5,0.08776458976145449,-0.7879858933844265,0.8975959345244019,0.021691338376190143
ES,signed_efficiency,5,10,Q,1240,-0.0011125829141479502,-0.057691754107056854,0.05670274521828947,-0.001947197267603112,-0.058166577037107994,0.057793649378771246,0.9469650330833996,False,-0.09999999999999999,0.5008403361344538,0.501628664495114,0.5177111716621253,0.5027322404371585,-0.007176133374715649,-0.0719298522007888,0.07119603643701275,-0.0008781800522342738
ES,signed_efficiency,5,15,R,1240,0.03814504899712653,-0.012262294335340514,0.09251626106444066,0.01863654992428573,-0.03730708520353055,0.07684294058430209,0.5243079792358496,False,0.3,0.4885883347421809,0.5065359477124183,0.5260273972602739,0.4835164835164835,0.2938584486247968,-0.5985199251020205,1.2402425786304365,0.019276849797809765
ES,signed_efficiency,5,15,Q,1240,0.002305859814492415,-0.05217856876978874,0.058405858792442526,0.0019273374649634324,-0.05069985074642527,0.05919980506166666,0.9475051620758961,False,0.09999999999999999,0.489469250210615,0.5098039215686274,0.5271739130434783,0.5217391304347826,-0.014629694804967223,-0.07446595530952778,0.06087591212934546,0.003028661674968474
ES,signed_efficiency,5,30,R,1240,0.032466831680730425,-0.02254726978961608,0.08776226235988464,0.017453232553575795,-0.037621043894671316,0.0737819607642392,0.5509866735393723,False,0.3,0.49159663865546216,0.4943089430894309,0.5013550135501355,0.4946236559139785,0.3053772270329452,-0.9344507377824226,1.3752540663050328,0.018648625253979714
ES,signed_efficiency,5,30,Q,1240,0.01845181571794689,-0.04143335739588456,0.07303762947839408,0.017532574782977244,-0.0414476364756285,0.07281374523022034,0.5491772072381154,False,0.3,0.5113350125944585,0.531810766721044,0.547683923705722,0.532608695652174,0.0038713566826194413,-0.06484006291110758,0.07299152978032533,0.01907362624633102
ES,signed_efficiency,10,5,R,1240,-0.019208443220427415,-0.07809983159705276,0.04818274703107267,-0.01133673741041892,-0.06727328431596741,0.0508082137281111,0.6985399914479618,False,-0.49999999999999994,0.4839527027027027,0.48697068403908794,0.5,0.5,-0.25286563536637435,-0.9881704786185831,0.35037257365257646,-0.01242679451220595
