instrument,side,freshness,activation_window,horizon_min,year,n_observations,rev_minus_brk_first_rate,median_signed_close_atr,same_bar_reversal_rate,same_bar_breakthrough_rate,sign
ES,lower,PRETOUCHED,WITHIN_30MIN,15,2022,80,0.05,0.0036231884057971015,0.4125,0.2875,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,30,2018,66,0.10606060606060606,0.10328185328185328,0.5303030303030303,0.16666666666666666,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,30,2019,78,0.10256410256410256,0.016129032258064516,0.5769230769230769,0.11538461538461539,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,30,2020,63,0.2222222222222222,0.23404255319148937,0.5555555555555556,0.12698412698412698,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,30,2021,72,0.2638888888888889,0.12444690265486726,0.4861111111111111,0.1527777777777778,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,30,2022,80,0.0625,0.0,0.4125,0.2875,0.0
ES,lower,PRETOUCHED,WITHIN_30MIN,60,2018,66,0.06060606060606061,0.062037037037037036,0.5303030303030303,0.16666666666666666,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,60,2019,78,0.07692307692307693,0.021739130434782608,0.5769230769230769,0.11538461538461539,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,60,2020,63,0.2222222222222222,0.1095890410958904,0.5555555555555556,0.12698412698412698,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,60,2021,72,0.2361111111111111,0.11744639376218323,0.4861111111111111,0.1527777777777778,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,60,2022,80,0.0125,0.0,0.4125,0.2875,0.0
ES,lower,PRETOUCHED,WITHIN_60MIN,1,2018,78,0.0,0.04124149659863945,0.47435897435897434,0.1794871794871795,1.0
ES,lower,PRETOUCHED,WITHIN_60MIN,1,2019,86,0.03488372093023256,0.024624624624624628,0.5581395348837209,0.11627906976744186,1.0
ES,lower,PRETOUCHED,WITHIN_60MIN,1,2020,74,-0.013513513513513514,0.0,0.581081081081081,0.14864864864864866,0.0
ES,lower,PRETOUCHED,WITHIN_60MIN,1,2021,86,0.0,0.009653376436781609,0.4883720930232558,0.16279069767441862,1.0
