instrument,side,freshness,activation_window,horizon_min,n_observations,n_nontied,rev_minus_brk_first_rate,median_signed_close_atr,binom_p,is_primary,q_value,n_years_ge10,max_year_sign_agreement,effect_pp,classification
ES,lower,PRISTINE,WITHIN_10MIN,15,128,67,0.0546875,0.0,0.46381761789686937,False,0.7282370075390098,5,3,5.46875,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_10MIN,30,128,88,0.0625,0.0441712204007286,0.45574127943791237,False,0.7223069334487667,5,3,6.25,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_10MIN,60,128,108,0.0625,0.03018018018018018,0.5007663934164358,False,0.7483552631578947,5,2,6.25,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_15MIN,5,150,21,-0.07333333333333333,0.0,0.02660369873046875,False,0.12079517261402027,5,2,-7.333333333333333,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_15MIN,10,150,50,-0.013333333333333334,0.013986013986013986,0.887724827340783,False,1.0,5,4,-1.3333333333333335,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_15MIN,15,150,77,0.04666666666666667,0.0,0.49438227369550003,False,0.7483552631578947,5,2,4.666666666666667,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_15MIN,30,150,104,0.04,0.011363636363636364,0.624143515844679,False,0.8467741935483871,5,3,4.0,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_15MIN,60,150,129,0.03333333333333333,0.0,0.7248543669717582,False,0.9041666666666667,5,3,3.3333333333333335,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_30MIN,5,183,24,-0.04371584699453552,0.0,0.15158963203430176,False,0.3401114555178394,5,3,-4.371584699453552,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_30MIN,10,183,61,0.03825136612021858,0.028985507246376812,0.4426260049464714,False,0.7219530954466719,5,4,3.825136612021858,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_30MIN,15,183,96,0.08743169398907104,0.0,0.12534569718849248,True,0.30518952358937296,5,3,8.743169398907105,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_30MIN,30,183,130,0.1092896174863388,0.06557377049180328,0.09525341143251803,False,0.28369140625,5,4,10.92896174863388,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_30MIN,60,183,159,0.10382513661202186,0.08333333333333333,0.15321494676013298,False,0.3401114555178394,5,4,10.382513661202186,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_60MIN,5,209,25,-0.03349282296650718,0.0,0.2295229434967041,False,0.4432167184763941,5,3,-3.349282296650718,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_60MIN,10,209,68,0.019138755980861243,0.020833333333333332,0.716300760154337,False,0.9041666666666667,5,3,1.9138755980861244,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_60MIN,15,209,107,0.07177033492822966,0.0,0.17564027334487994,False,0.376407965587597,5,3,7.177033492822966,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_60MIN,30,209,145,0.08133971291866028,0.03278688524590164,0.18374624131166653,False,0.38356545015617655,5,4,8.133971291866029,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_60MIN,60,209,182,0.06698564593301436,0.058823529411764705,0.3352518457931319,False,0.5717596250863523,5,3,6.698564593301436,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_10AM_CANDLE,5,130,24,0.046153846153846156,0.032539682539682535,0.30745625495910645,False,0.5325015549807205,5,3,4.615384615384616,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_10AM_CANDLE,10,130,36,0.09230769230769231,0.020075757575757577,0.06524533522315325,False,0.2192243263497949,5,3,9.230769230769232,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_10AM_CANDLE,15,130,54,0.13846153846153847,0.0,0.01983432672806828,False,0.10413021532235846,5,2,13.846153846153847,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_10AM_CANDLE,30,130,79,0.13076923076923078,0.0,0.07116340869529121,False,0.23195464255149173,5,3,13.076923076923078,MIXED_OR_NULL
