instrument,session,direction,year,state,n,resolved,reversal_rate,median_progress_ratio
NQ,NEW_YORK,-1,2019,LOW_VOLUME_DECAY_CONTROL,28,24,0.6666666666666666,0.060153776571686995
NQ,NEW_YORK,-1,2020,HIGH_VOLUME_DECAY,40,39,0.5128205128205128,0.05679929611887765
NQ,NEW_YORK,-1,2020,LOW_VOLUME_DECAY_CONTROL,28,27,0.5185185185185185,0.0652457185405807
NQ,NEW_YORK,-1,2021,HIGH_VOLUME_DECAY,55,44,0.3181818181818182,0.0661157024793388
NQ,NEW_YORK,-1,2021,LOW_VOLUME_DECAY_CONTROL,26,24,0.5833333333333334,0.07179487179487175
NQ,NEW_YORK,-1,2022,HIGH_VOLUME_DECAY,54,46,0.45652173913043476,0.06709077301400615
NQ,NEW_YORK,-1,2022,LOW_VOLUME_DECAY_CONTROL,64,59,0.5084745762711864,0.02980769230769225
NQ,NEW_YORK,1,2018,HIGH_VOLUME_DECAY,44,39,0.4358974358974359,0.09187675070028009
NQ,NEW_YORK,1,2018,LOW_VOLUME_DECAY_CONTROL,34,31,0.25806451612903225,0.073345259391771
NQ,NEW_YORK,1,2019,HIGH_VOLUME_DECAY,40,33,0.42424242424242425,0.0894736842105263
NQ,NEW_YORK,1,2019,LOW_VOLUME_DECAY_CONTROL,40,34,0.5294117647058824,0.0
NQ,NEW_YORK,1,2020,HIGH_VOLUME_DECAY,52,50,0.44,0.0963323022536456
NQ,NEW_YORK,1,2020,LOW_VOLUME_DECAY_CONTROL,48,44,0.45454545454545453,0.03948051948051945
NQ,NEW_YORK,1,2021,HIGH_VOLUME_DECAY,46,40,0.35,0.06282051282051279
NQ,NEW_YORK,1,2021,LOW_VOLUME_DECAY_CONTROL,59,57,0.5087719298245614,0.036697247706422
NQ,NEW_YORK,1,2022,HIGH_VOLUME_DECAY,48,40,0.475,0.0449494949494949
NQ,NEW_YORK,1,2022,LOW_VOLUME_DECAY_CONTROL,47,42,0.47619047619047616,0.0571428571428571
