year,segment,direction,n,instrument,k,z_thr
2020,close,-1,914,NQ,1,3.0
2020,close,1,847,NQ,1,3.0
2020,european,-1,4233,NQ,1,3.0
2020,european,1,4201,NQ,1,3.0
2020,midday,-1,1989,NQ,1,3.0
2020,midday,1,1768,NQ,1,3.0
2020,morning,-1,974,NQ,1,3.0
2020,morning,1,894,NQ,1,3.0
2020,overnight,-1,6954,NQ,1,3.0
2020,overnight,1,6937,NQ,1,3.0
2020,precash,-1,692,NQ,1,3.0
2020,precash,1,698,NQ,1,3.0
2021,afternoon,-1,635,NQ,1,3.0
2021,afternoon,1,690,NQ,1,3.0
2021,cashopen,-1,145,NQ,1,3.0
2021,cashopen,1,131,NQ,1,3.0
2021,close,-1,498,NQ,1,3.0
2021,close,1,478,NQ,1,3.0
2021,european,-1,2509,NQ,1,3.0
2021,european,1,2289,NQ,1,3.0
2021,midday,-1,1102,NQ,1,3.0
2021,midday,1,988,NQ,1,3.0
2021,morning,-1,551,NQ,1,3.0
2021,morning,1,496,NQ,1,3.0
2021,overnight,-1,3745,NQ,1,3.0
2021,overnight,1,3708,NQ,1,3.0
2021,precash,-1,499,NQ,1,3.0
2021,precash,1,491,NQ,1,3.0
2022,afternoon,-1,476,NQ,1,3.0
2022,afternoon,1,520,NQ,1,3.0
2022,cashopen,-1,65,NQ,1,3.0
2022,cashopen,1,80,NQ,1,3.0
2022,close,-1,560,NQ,1,3.0
2022,close,1,604,NQ,1,3.0
2022,european,-1,1561,NQ,1,3.0
2022,european,1,1584,NQ,1,3.0
2022,midday,-1,613,NQ,1,3.0
2022,midday,1,609,NQ,1,3.0
2022,morning,-1,289,NQ,1,3.0
2022,morning,1,322,NQ,1,3.0
2022,overnight,-1,2985,NQ,1,3.0
2022,overnight,1,3030,NQ,1,3.0
2022,precash,-1,383,NQ,1,3.0
2022,precash,1,399,NQ,1,3.0
2018,afternoon,-1,456,NQ,1,4.0
2018,afternoon,1,487,NQ,1,4.0
2018,cashopen,-1,52,NQ,1,4.0
2018,cashopen,1,38,NQ,1,4.0
2018,close,-1,431,NQ,1,4.0
2018,close,1,381,NQ,1,4.0
2018,european,-1,1448,NQ,1,4.0
2018,european,1,1422,NQ,1,4.0
2018,midday,-1,717,NQ,1,4.0
2018,midday,1,709,NQ,1,4.0
2018,morning,-1,241,NQ,1,4.0
2018,morning,1,234,NQ,1,4.0
2018,overnight,-1,2871,NQ,1,4.0
2018,overnight,1,2995,NQ,1,4.0
2018,precash,-1,239,NQ,1,4.0
2018,precash,1,229,NQ,1,4.0
2019,afternoon,-1,209,NQ,1,4.0
2019,afternoon,1,193,NQ,1,4.0
2019,cashopen,-1,26,NQ,1,4.0
2019,cashopen,1,26,NQ,1,4.0
2019,close,-1,164,NQ,1,4.0
2019,close,1,127,NQ,1,4.0
2019,european,-1,877,NQ,1,4.0
2019,european,1,863,NQ,1,4.0
2019,midday,-1,339,NQ,1,4.0
2019,midday,1,291,NQ,1,4.0
2019,morning,-1,109,NQ,1,4.0
2019,morning,1,96,NQ,1,4.0
2019,overnight,-1,1301,NQ,1,4.0
2019,overnight,1,1324,NQ,1,4.0
2019,precash,-1,152,NQ,1,4.0
2019,precash,1,157,NQ,1,4.0
2020,afternoon,-1,794,NQ,1,4.0
2020,afternoon,1,769,NQ,1,4.0
2020,cashopen,-1,151,NQ,1,4.0
2020,cashopen,1,129,NQ,1,4.0
2020,close,-1,593,NQ,1,4.0
2020,close,1,560,NQ,1,4.0
2020,european,-1,2750,NQ,1,4.0
2020,european,1,2636,NQ,1,4.0
2020,midday,-1,1284,NQ,1,4.0
2020,midday,1,1147,NQ,1,4.0
2020,morning,-1,586,NQ,1,4.0
2020,morning,1,545,NQ,1,4.0
2020,overnight,-1,4714,NQ,1,4.0
2020,overnight,1,4642,NQ,1,4.0
2020,precash,-1,440,NQ,1,4.0
2020,precash,1,459,NQ,1,4.0
2021,afternoon,-1,301,NQ,1,4.0
2021,afternoon,1,342,NQ,1,4.0
2021,cashopen,-1,48,NQ,1,4.0
2021,cashopen,1,46,NQ,1,4.0
2021,close,-1,252,NQ,1,4.0
2021,close,1,231,NQ,1,4.0
2021,european,-1,1247,NQ,1,4.0
2021,european,1,1049,NQ,1,4.0
2021,midday,-1,510,NQ,1,4.0
2021,midday,1,476,NQ,1,4.0
2021,morning,-1,235,NQ,1,4.0
2021,morning,1,210,NQ,1,4.0
2021,overnight,-1,1992,NQ,1,4.0
2021,overnight,1,1818,NQ,1,4.0
2021,precash,-1,260,NQ,1,4.0
2021,precash,1,245,NQ,1,4.0
2022,afternoon,-1,211,NQ,1,4.0
2022,afternoon,1,246,NQ,1,4.0
2022,cashopen,-1,15,NQ,1,4.0
2022,cashopen,1,26,NQ,1,4.0
2022,close,-1,311,NQ,1,4.0
2022,close,1,339,NQ,1,4.0
2022,european,-1,662,NQ,1,4.0
2022,european,1,626,NQ,1,4.0
2022,midday,-1,239,NQ,1,4.0
2022,midday,1,245,NQ,1,4.0
2022,morning,-1,94,NQ,1,4.0
2022,morning,1,112,NQ,1,4.0
2022,overnight,-1,1433,NQ,1,4.0
2022,overnight,1,1410,NQ,1,4.0
2022,precash,-1,180,NQ,1,4.0
2022,precash,1,172,NQ,1,4.0
2018,afternoon,-1,923,NQ,3,3.0
2018,afternoon,1,861,NQ,3,3.0
2018,cashopen,-1,132,NQ,3,3.0
2018,cashopen,1,130,NQ,3,3.0
2018,close,-1,715,NQ,3,3.0
2018,close,1,636,NQ,3,3.0
2018,european,-1,2555,NQ,3,3.0
2018,european,1,2470,NQ,3,3.0
2018,midday,-1,1447,NQ,3,3.0
2018,midday,1,1327,NQ,3,3.0
2018,morning,-1,579,NQ,3,3.0
2018,morning,1,551,NQ,3,3.0
2018,overnight,-1,4492,NQ,3,3.0
2018,overnight,1,4685,NQ,3,3.0
2018,precash,-1,444,NQ,3,3.0
2018,precash,1,412,NQ,3,3.0
2019,afternoon,-1,391,NQ,3,3.0
2019,afternoon,1,395,NQ,3,3.0
2019,cashopen,-1,87,NQ,3,3.0
2019,cashopen,1,87,NQ,3,3.0
2019,close,-1,373,NQ,3,3.0
2019,close,1,289,NQ,3,3.0
2019,european,-1,1793,NQ,3,3.0
2019,european,1,1659,NQ,3,3.0
2019,midday,-1,723,NQ,3,3.0
2019,midday,1,579,NQ,3,3.0
2019,morning,-1,340,NQ,3,3.0
2019,morning,1,265,NQ,3,3.0
2019,overnight,-1,2228,NQ,3,3.0
2019,overnight,1,2307,NQ,3,3.0
2019,precash,-1,318,NQ,3,3.0
2019,precash,1,288,NQ,3,3.0
2020,afternoon,-1,1248,NQ,3,3.0
2020,afternoon,1,1147,NQ,3,3.0
2020,cashopen,-1,301,NQ,3,3.0
2020,cashopen,1,230,NQ,3,3.0
2020,close,-1,905,NQ,3,3.0
2020,close,1,892,NQ,3,3.0
2020,european,-1,4320,NQ,3,3.0
2020,european,1,4057,NQ,3,3.0
2020,midday,-1,2140,NQ,3,3.0
2020,midday,1,1751,NQ,3,3.0
2020,morning,-1,1006,NQ,3,3.0
2020,morning,1,905,NQ,3,3.0
2020,overnight,-1,7028,NQ,3,3.0
2020,overnight,1,6978,NQ,3,3.0
2020,precash,-1,678,NQ,3,3.0
2020,precash,1,647,NQ,3,3.0
2021,afternoon,-1,696,NQ,3,3.0
2021,afternoon,1,755,NQ,3,3.0
2021,cashopen,-1,124,NQ,3,3.0
2021,cashopen,1,104,NQ,3,3.0
2021,close,-1,518,NQ,3,3.0
2021,close,1,435,NQ,3,3.0
2021,european,-1,2683,NQ,3,3.0
2021,european,1,2389,NQ,3,3.0
2021,midday,-1,1149,NQ,3,3.0
2021,midday,1,1019,NQ,3,3.0
2021,morning,-1,571,NQ,3,3.0
2021,morning,1,485,NQ,3,3.0
2021,overnight,-1,3933,NQ,3,3.0
2021,overnight,1,3815,NQ,3,3.0
2021,precash,-1,529,NQ,3,3.0
2021,precash,1,560,NQ,3,3.0
2022,afternoon,-1,491,NQ,3,3.0
2022,afternoon,1,534,NQ,3,3.0
2022,cashopen,-1,55,NQ,3,3.0
2022,cashopen,1,58,NQ,3,3.0
2022,close,-1,592,NQ,3,3.0
2022,close,1,596,NQ,3,3.0
2022,european,-1,1557,NQ,3,3.0
2022,european,1,1570,NQ,3,3.0
2022,midday,-1,685,NQ,3,3.0
2022,midday,1,644,NQ,3,3.0
2022,morning,-1,309,NQ,3,3.0
2022,morning,1,334,NQ,3,3.0
2022,overnight,-1,3305,NQ,3,3.0
2022,overnight,1,3355,NQ,3,3.0
2022,precash,-1,417,NQ,3,3.0
2022,precash,1,416,NQ,3,3.0
2018,afternoon,-1,450,NQ,3,4.0
2018,afternoon,1,487,NQ,3,4.0
2018,cashopen,-1,50,NQ,3,4.0
2018,cashopen,1,53,NQ,3,4.0
2018,close,-1,429,NQ,3,4.0
2018,close,1,366,NQ,3,4.0
2018,european,-1,1314,NQ,3,4.0
2018,european,1,1177,NQ,3,4.0
2018,midday,-1,755,NQ,3,4.0
2018,midday,1,704,NQ,3,4.0
2018,morning,-1,237,NQ,3,4.0
2018,morning,1,225,NQ,3,4.0
2018,overnight,-1,2550,NQ,3,4.0
2018,overnight,1,2668,NQ,3,4.0
2018,precash,-1,236,NQ,3,4.0
2018,precash,1,214,NQ,3,4.0
2019,afternoon,-1,191,NQ,3,4.0
2019,afternoon,1,196,NQ,3,4.0
2019,cashopen,-1,32,NQ,3,4.0
2019,cashopen,1,31,NQ,3,4.0
2019,close,-1,187,NQ,3,4.0
2019,close,1,125,NQ,3,4.0
2019,european,-1,917,NQ,3,4.0
2019,european,1,779,NQ,3,4.0
2019,midday,-1,327,NQ,3,4.0
2019,midday,1,280,NQ,3,4.0
2019,morning,-1,134,NQ,3,4.0
2019,morning,1,96,NQ,3,4.0
2019,overnight,-1,1068,NQ,3,4.0
2019,overnight,1,1130,NQ,3,4.0
2019,precash,-1,149,NQ,3,4.0
2019,precash,1,143,NQ,3,4.0
2020,afternoon,-1,826,NQ,3,4.0
2020,afternoon,1,732,NQ,3,4.0
2020,cashopen,-1,174,NQ,3,4.0
2020,cashopen,1,133,NQ,3,4.0
2020,close,-1,585,NQ,3,4.0
2020,close,1,574,NQ,3,4.0
2020,european,-1,2799,NQ,3,4.0
2020,european,1,2608,NQ,3,4.0
2020,midday,-1,1377,NQ,3,4.0
2020,midday,1,1131,NQ,3,4.0
2020,morning,-1,590,NQ,3,4.0
2020,morning,1,530,NQ,3,4.0
2020,overnight,-1,4646,NQ,3,4.0
2020,overnight,1,4469,NQ,3,4.0
2020,precash,-1,403,NQ,3,4.0
2020,precash,1,406,NQ,3,4.0
2021,afternoon,-1,337,NQ,3,4.0
2021,afternoon,1,385,NQ,3,4.0
2021,cashopen,-1,41,NQ,3,4.0
2021,cashopen,1,36,NQ,3,4.0
2021,close,-1,262,NQ,3,4.0
2021,close,1,204,NQ,3,4.0
2021,european,-1,1326,NQ,3,4.0
2021,european,1,1084,NQ,3,4.0
2021,midday,-1,550,NQ,3,4.0
2021,midday,1,474,NQ,3,4.0
2021,morning,-1,237,NQ,3,4.0
2021,morning,1,197,NQ,3,4.0
2021,overnight,-1,2129,NQ,3,4.0
2021,overnight,1,1861,NQ,3,4.0
2021,precash,-1,282,NQ,3,4.0
2021,precash,1,284,NQ,3,4.0
2022,afternoon,-1,251,NQ,3,4.0
2022,afternoon,1,260,NQ,3,4.0
2022,cashopen,-1,10,NQ,3,4.0
2022,cashopen,1,17,NQ,3,4.0
2022,close,-1,326,NQ,3,4.0
2022,close,1,320,NQ,3,4.0
2022,european,-1,666,NQ,3,4.0
2022,european,1,650,NQ,3,4.0
2022,midday,-1,265,NQ,3,4.0
2022,midday,1,246,NQ,3,4.0
2022,morning,-1,98,NQ,3,4.0
2022,morning,1,123,NQ,3,4.0
2022,overnight,-1,1551,NQ,3,4.0
2022,overnight,1,1607,NQ,3,4.0
2022,precash,-1,193,NQ,3,4.0
2022,precash,1,206,NQ,3,4.0
