instrument,level_id,n_mutually_eligible,n_real_touched,n_synth_touched,real_touch_rate,synth_touch_rate,n_real_only,n_synth_only,n_both_touched,n_neither_touched,n_discordant,paired_touch_rate_diff,diff_ci_lo,diff_ci_hi,discordant_odds_ratio,or_ci_lo,or_ci_hi,p_raw,confirmatory_eligible,status,p_bonferroni,bonferroni_alpha,bonferroni_survivor
ES,mult_U_0.5,1226,1155,1096,0.9420880913539967,0.8939641109298532,59,0,1096,71,59,0.048123980424143564,0.036143291280110804,0.06010466956817631,inf,7.356930626570331,1924.85164245753,3.469446951953614e-18,True,tested,2.636779683484747e-16,0.0006578947368421052,True
ES,mult_U_1.0,1226,1056,996,0.8613376835236541,0.8123980424143556,60,0,996,170,60,0.04893964110929849,0.03686302485285541,0.06101625736574166,inf,7.482010731116919,1956.8269180782634,1.734723475976807e-18,True,tested,1.3183898417423734e-16,0.0006578947368421052,True
ES,mult_U_1.5,1226,951,901,0.7756933115823818,0.734910277324633,50,0,901,275,50,0.04078303425774876,0.029711468874506812,0.05185459964099074,inf,6.231229474826123,1637.0766060231877,1.7763568394002505e-15,True,tested,1.3500311979441904e-13,0.0006578947368421052,True
ES,mult_U_2.0,1226,863,782,0.7039151712887439,0.6378466557911908,81,0,782,363,81,0.0660685154975531,0.05216368756912815,0.0799733434259779,inf,10.108756069690086,2628.3154739151364,8.271806125530277e-25,True,tested,6.28657265540301e-23,0.0006578947368421052,True
ES,overnight_high,1226,443,816,0.36133768352365414,0.6655791190864601,16,389,427,394,405,-0.3042414355628059,-0.33153738768608854,-0.2769454834395232,0.04113110539845758,0.02494788576660951,0.06781207221829212,4.6809144071038895e-94,True,tested,3.557494949398956e-92,0.0006578947368421052,True
ES,overnight_low,1226,372,847,0.3034257748776509,0.6908646003262643,7,482,365,372,489,-0.3874388254486134,-0.4153573016176298,-0.3595203492795969,0.014522821576763486,0.006886417605805463,0.030627295442074504,1.613193173629933e-132,True,tested,1.226026811958749e-130,0.0006578947368421052,True
ES,overnight_mid,1226,677,907,0.5522022838499184,0.7398042414355628,135,365,542,184,500,-0.18760195758564435,-0.22177260068654397,-0.15343131448474479,0.3698630136986301,0.3035954508348703,0.45059518687135963,1.7428905853450353e-25,True,tested,1.324596844862227e-23,0.0006578947368421052,True
ES,overnight_open,1226,470,865,0.3833605220228385,0.7055464926590538,103,498,367,258,601,-0.3221859706362153,-0.3569823489390684,-0.2873895923333623,0.20682730923694778,0.16728950789852146,0.25570961612335585,4.7657210218385167e-63,True,tested,3.621947976597273e-61,0.0006578947368421052,True
ES,prior_close,1185,357,825,0.3012658227848101,0.6962025316455697,82,550,275,278,632,-0.39493670886075954,-0.4299130089493321,-0.3599604087721869,0.14909090909090908,0.11821863606415495,0.18802533943540814,5.182935937742259e-86,True,tested,3.9390313126841166e-84,0.0006578947368421052,True
ES,prior_high,1185,247,779,0.20843881856540084,0.6573839662447257,63,595,184,343,658,-0.4489451476793249,-0.48280836742878486,-0.415081927929865,0.10588235294117647,0.08166679951599042,0.1372782174739776,1.5517039876617186e-109,True,tested,1.1792950306229061e-107,0.0006578947368421052,True
ES,prior_low,1185,188,828,0.15864978902953586,0.6987341772151898,23,663,165,334,686,-0.540084388185654,-0.5705983108381188,-0.5095704655331891,0.03469079939668175,0.02289132065111409,0.052572395499699776,2.9562964750698048e-164,True,tested,2.2467853210530516e-162,0.0006578947368421052,True
