instrument,level_id,arm,horizon,label_tau1.0,n
ES,mult_D_1.0,SYNTHETIC,10,INCONCLUSIVE,210
ES,mult_D_1.0,SYNTHETIC,10,REJECTION,384
ES,mult_D_1.0,SYNTHETIC,15,CONTINUATION,414
ES,mult_D_1.0,SYNTHETIC,15,INCONCLUSIVE,165
ES,mult_D_1.0,SYNTHETIC,15,REJECTION,418
ES,mult_D_1.5,REAL,1,CONTINUATION,271
ES,mult_D_1.5,REAL,1,INCONCLUSIVE,407
ES,mult_D_1.5,REAL,1,REJECTION,290
ES,mult_D_1.5,REAL,3,CONTINUATION,338
ES,mult_D_1.5,REAL,3,INCONCLUSIVE,278
ES,mult_D_1.5,REAL,3,REJECTION,352
ES,mult_D_1.5,REAL,5,CONTINUATION,350
ES,mult_D_1.5,REAL,5,INCONCLUSIVE,254
ES,mult_D_1.5,REAL,5,REJECTION,364
ES,mult_D_1.5,REAL,10,CONTINUATION,386
ES,mult_D_1.5,REAL,10,INCONCLUSIVE,198
ES,mult_D_1.5,REAL,10,REJECTION,384
ES,mult_D_1.5,REAL,15,CONTINUATION,395
ES,mult_D_1.5,REAL,15,INCONCLUSIVE,162
ES,mult_D_1.5,REAL,15,REJECTION,411
ES,mult_D_1.5,SYNTHETIC,1,CONTINUATION,254
ES,mult_D_1.5,SYNTHETIC,1,INCONCLUSIVE,404
ES,mult_D_1.5,SYNTHETIC,1,REJECTION,276
ES,mult_D_1.5,SYNTHETIC,3,CONTINUATION,319
ES,mult_D_1.5,SYNTHETIC,3,INCONCLUSIVE,282
ES,mult_D_1.5,SYNTHETIC,3,REJECTION,333
ES,mult_D_1.5,SYNTHETIC,5,CONTINUATION,328
ES,mult_D_1.5,SYNTHETIC,5,INCONCLUSIVE,260
ES,mult_D_1.5,SYNTHETIC,5,REJECTION,346
ES,mult_D_1.5,SYNTHETIC,10,CONTINUATION,373
ES,mult_D_1.5,SYNTHETIC,10,INCONCLUSIVE,189
ES,mult_D_1.5,SYNTHETIC,10,REJECTION,372
ES,mult_D_1.5,SYNTHETIC,15,CONTINUATION,379
ES,mult_D_1.5,SYNTHETIC,15,INCONCLUSIVE,159
ES,mult_D_1.5,SYNTHETIC,15,REJECTION,396
ES,mult_D_2.0,REAL,1,CONTINUATION,237
ES,mult_D_2.0,REAL,1,INCONCLUSIVE,384
ES,mult_D_2.0,REAL,1,REJECTION,296
ES,mult_D_2.0,REAL,3,CONTINUATION,301
ES,mult_D_2.0,REAL,3,INCONCLUSIVE,266
ES,mult_D_2.0,REAL,3,REJECTION,350
ES,mult_D_2.0,REAL,5,CONTINUATION,314
ES,mult_D_2.0,REAL,5,INCONCLUSIVE,245
ES,mult_D_2.0,REAL,5,REJECTION,358
ES,mult_D_2.0,REAL,10,CONTINUATION,362
ES,mult_D_2.0,REAL,10,INCONCLUSIVE,154
ES,mult_D_2.0,REAL,10,REJECTION,401
ES,mult_D_2.0,REAL,15,CONTINUATION,367
ES,mult_D_2.0,REAL,15,INCONCLUSIVE,134
ES,mult_D_2.0,REAL,15,REJECTION,416
ES,mult_D_2.0,SYNTHETIC,1,CONTINUATION,224
ES,mult_D_2.0,SYNTHETIC,1,INCONCLUSIVE,364
ES,mult_D_2.0,SYNTHETIC,1,REJECTION,255
