instrument,level_id,outcome_name,horizon,n_real,n_synth,status,p_raw,real_rate,synth_rate,p_bh
ES,q_U_p25,post_touch_retouch,5,1151,1119,tested,0.15673623437253786,0.7419635099913119,0.7149240393208222,0.7051937256641272
ES,q_U_p25,post_touch_retouch,10,1151,1119,tested,0.3504338065277541,0.8019113814074718,0.7855227882037533,1.0
ES,q_U_p25,post_touch_retouch,15,1151,1119,tested,0.4157622285477116,0.8236316246741964,0.8096514745308311,1.0
ES,q_U_p75,post_touch_retouch,1,932,908,tested,0.02303441394521854,0.6126609442060086,0.5594713656387665,0.261557072708178
ES,q_U_p75,post_touch_retouch,3,932,908,tested,0.09032299253867782,0.7542918454935622,0.7191629955947136,0.6981175744313888
ES,q_U_p75,post_touch_retouch,5,932,908,tested,0.14233592913404056,0.796137339055794,0.7676211453744494,0.7051937256641272
ES,q_U_p75,post_touch_retouch,10,932,908,tested,0.4803940238733334,0.8497854077253219,0.8370044052863436,1.0
ES,q_U_p75,post_touch_retouch,15,932,908,tested,0.238424220681678,0.8798283261802575,0.8612334801762115,1.0
ES,q_U_p90,post_touch_retouch,1,792,779,tested,0.43558156413347915,0.6300505050505051,0.6097560975609756,0.6367256448043891
ES,q_U_p90,post_touch_retouch,3,792,779,tested,0.730299005181865,0.7436868686868687,0.7355584082156611,1.0
ES,q_U_p90,post_touch_retouch,5,792,779,tested,0.5751904674752717,0.7992424242424242,0.7869062901155327,0.9294594364341511
ES,q_U_p90,post_touch_retouch,10,792,779,tested,0.4940049351655986,0.8446969696969697,0.8318356867779204,1.0
ES,q_U_p90,post_touch_retouch,15,792,779,tested,0.4630061458929444,0.8699494949494949,0.8562259306803595,1.0
ES,q_U_p95,post_touch_retouch,1,711,774,tested,0.9153200716110333,0.6047819971870605,0.6085271317829457,0.9802140309638856
ES,q_U_p95,post_touch_retouch,3,711,774,tested,0.9535193733669252,0.7271448663853727,0.7286821705426356,1.0
ES,q_U_p95,post_touch_retouch,5,711,774,tested,0.5319858165656461,0.7862165963431786,0.772609819121447,0.9294594364341511
ES,q_U_p95,post_touch_retouch,10,711,774,tested,0.7337890174444361,0.8270042194092827,0.8191214470284238,1.0
ES,q_U_p95,post_touch_retouch,15,711,774,tested,0.6684274997582549,0.8481012658227848,0.8397932816537468,1.0
ES,vwap_on_j+0,post_touch_retouch,1,780,914,tested,1.0,0.5858974358974359,0.5853391684901532,1.0
ES,vwap_on_j+0,post_touch_retouch,3,780,914,tested,0.9150626344745785,0.7051282051282052,0.7024070021881839,1.0
ES,vwap_on_j+0,post_touch_retouch,5,780,914,tested,0.9101546576815098,0.7512820512820513,0.7538293216630197,1.0
ES,vwap_on_j+0,post_touch_retouch,10,780,914,tested,0.6645440120998922,0.8038461538461539,0.812910284463895,1.0
ES,vwap_on_j+0,post_touch_retouch,15,780,914,tested,0.5133445477761223,0.8269230769230769,0.8391684901531729,1.0
ES,vwap_on_j+1,post_touch_retouch,1,737,902,tested,0.9600544780863478,0.5671641791044776,0.5687361419068736,0.9860018964130058
ES,vwap_on_j+1,post_touch_retouch,3,737,902,tested,0.5153012304180233,0.7096336499321574,0.6940133037694013,0.9739790704858677
ES,vwap_on_j+1,post_touch_retouch,5,737,902,tested,0.730143142869467,0.757123473541384,0.7494456762749445,0.9600167310352202
ES,vwap_on_j+1,post_touch_retouch,10,737,902,tested,1.0,0.8086838534599728,0.8093126385809313,1.0
ES,vwap_on_j+1,post_touch_retouch,15,737,902,tested,0.7877285568568461,0.8344640434192673,0.8403547671840355,1.0
ES,vwap_on_j+2,post_touch_retouch,1,455,805,tested,0.43565438855037153,0.6197802197802198,0.5962732919254659,0.6367256448043891
ES,vwap_on_j+2,post_touch_retouch,3,455,805,tested,0.20358668429704624,0.7626373626373626,0.7291925465838509,0.7032994548443415
