instrument,level_id,outcome_name,horizon,n_real,n_synth,status,p_raw,real_rate,synth_rate,p_bh
ES,q_D_p90,directional_close_recross,15,828,850,tested,0.6588536121212845,0.5422705314009661,0.5541176470588235,0.8727319552796586
ES,q_D_p95,directional_close_recross,1,745,844,tested,1.0,0.0,0.0,1.0
ES,q_D_p95,directional_close_recross,3,745,844,tested,0.6527129671411007,0.19328859060402684,0.18364928909952608,1.0
ES,q_D_p95,directional_close_recross,5,745,844,tested,0.9133086978908087,0.30604026845637583,0.30924170616113744,0.949266785274096
ES,q_D_p95,directional_close_recross,10,745,844,tested,1.0,0.4657718120805369,0.466824644549763,1.0
ES,q_D_p95,directional_close_recross,15,745,844,tested,0.6493502918669127,0.5476510067114094,0.5592417061611374,0.8727319552796586
ES,q_U_p25,directional_close_recross,1,1151,1044,tested,1.0,0.0,0.0,1.0
ES,q_U_p25,directional_close_recross,3,1151,1044,tested,0.23444873074884634,0.14335360556038226,0.16187739463601533,0.8435785343850275
ES,q_U_p25,directional_close_recross,5,1151,1044,tested,0.4642868556871476,0.2519548218940052,0.2662835249042146,0.7351208548379837
ES,q_U_p25,directional_close_recross,10,1151,1044,tested,0.22295481155487695,0.39183318853171156,0.41762452107279696,0.8037855627875593
ES,q_U_p25,directional_close_recross,15,1151,1044,tested,0.1849857836025209,0.47089487402258906,0.5,0.7029459776895794
ES,q_U_p75,directional_close_recross,1,932,908,tested,1.0,0.0,0.0,1.0
ES,q_U_p75,directional_close_recross,3,932,908,tested,0.11011842920684856,0.15987124463519314,0.1883259911894273,0.7888678823547709
ES,q_U_p75,directional_close_recross,5,932,908,tested,0.13881818263585577,0.2800429184549356,0.31167400881057267,0.7275929326067936
ES,q_U_p75,directional_close_recross,10,932,908,tested,0.10061134453391352,0.4259656652360515,0.4647577092511013,0.706033973762079
ES,q_U_p75,directional_close_recross,15,932,908,tested,0.10247078319629524,0.5010729613733905,0.539647577092511,0.6123861650904062
ES,q_U_p90,directional_close_recross,1,792,779,tested,1.0,0.0,0.0,1.0
ES,q_U_p90,directional_close_recross,3,792,779,tested,0.6315938893619393,0.15656565656565657,0.16559691912708602,1.0
ES,q_U_p90,directional_close_recross,5,792,779,tested,0.7362670792293008,0.2765151515151515,0.28498074454428757,0.9119639886425875
ES,q_U_p90,directional_close_recross,10,792,779,tested,0.4766219310124616,0.4292929292929293,0.44801026957637996,0.912851286548062
ES,q_U_p90,directional_close_recross,15,792,779,tested,0.4193639137731585,0.5025252525252525,0.5237483953786907,0.8727319552796586
ES,q_U_p95,directional_close_recross,1,711,774,tested,1.0,0.0,0.0,1.0
ES,q_U_p95,directional_close_recross,3,711,774,tested,0.8891490892332363,0.16455696202531644,0.16795865633074936,1.0
ES,q_U_p95,directional_close_recross,5,711,774,tested,0.3331930231285747,0.28270042194092826,0.3062015503875969,0.7275929326067936
ES,q_U_p95,directional_close_recross,10,711,774,tested,0.6380611691991371,0.43741209563994377,0.4509043927648579,0.912851286548062
ES,q_U_p95,directional_close_recross,15,711,774,tested,0.6773177040931042,0.5203938115330521,0.5322997416020672,0.8727319552796586
ES,vwap_on_j+0,directional_close_recross,1,700,876,tested,1.0,0.0,0.0,1.0
ES,vwap_on_j+0,directional_close_recross,3,700,876,tested,0.7423133481472525,0.17714285714285713,0.18493150684931506,1.0
ES,vwap_on_j+0,directional_close_recross,5,700,876,tested,0.6954738022212956,0.28285714285714286,0.2922374429223744,0.9113104994623873
ES,vwap_on_j+0,directional_close_recross,10,700,876,tested,0.7206720683274174,0.4328571428571429,0.4429223744292237,0.912851286548062
ES,vwap_on_j+0,directional_close_recross,15,700,876,tested,0.8390624820437599,0.5342857142857143,0.5285388127853882,0.9633482441834007
ES,vwap_on_j+1,directional_close_recross,1,657,859,tested,1.0,0.0,0.0,1.0
ES,vwap_on_j+1,directional_close_recross,3,657,859,tested,0.8400461926662519,0.1780821917808219,0.18277066356228172,1.0
ES,vwap_on_j+1,directional_close_recross,5,657,859,tested,0.8660545603240422,0.3089802130898021,0.30384167636786963,0.949266785274096
ES,vwap_on_j+1,directional_close_recross,10,657,859,tested,0.5664130907406184,0.4353120243531202,0.45052386495925495,0.912851286548062
ES,vwap_on_j+1,directional_close_recross,15,657,859,tested,0.7555325057828028,0.5205479452054794,0.529685681024447,0.8971948506170784
ES,vwap_on_j+2,directional_close_recross,1,418,793,tested,1.0,0.0,0.0,1.0
ES,vwap_on_j+2,directional_close_recross,3,418,793,tested,0.7515572718846844,0.18181818181818182,0.17402269861286254,1.0
ES,vwap_on_j+2,directional_close_recross,5,418,793,tested,0.322696745500629,0.3181818181818182,0.2900378310214376,0.7275929326067936
ES,vwap_on_j+2,directional_close_recross,10,418,793,tested,0.8083320564289125,0.45933014354066987,0.4514501891551072,0.9308066104332932
ES,vwap_on_j+2,directional_close_recross,15,418,793,tested,1.0,0.5311004784688995,0.5296343001261034,1.0
ES,vwap_on_j+3,directional_close_recross,1,202,773,tested,1.0,0.0,0.0,1.0
ES,vwap_on_j+3,directional_close_recross,3,202,773,tested,0.8350085988987754,0.1782178217821782,0.17205692108667528,1.0
ES,vwap_on_j+3,directional_close_recross,5,202,773,tested,0.6015953460665674,0.2722772277227723,0.2923673997412678,0.8164508268046272
ES,vwap_on_j+3,directional_close_recross,10,202,773,tested,0.11147904848874932,0.3811881188118812,0.44372574385511,0.706033973762079
ES,vwap_on_j+3,directional_close_recross,15,202,773,tested,0.4290153397652692,0.49504950495049505,0.5291073738680466,0.8727319552796586
ES,vwap_on_j-1,directional_close_recross,1,595,884,tested,1.0,0.0,0.0,1.0
ES,vwap_on_j-1,directional_close_recross,3,595,884,tested,0.9453910827310685,0.1815126050420168,0.1832579185520362,1.0
ES,vwap_on_j-1,directional_close_recross,5,595,884,tested,0.5999209472954944,0.28403361344537814,0.29751131221719457,0.8164508268046272
ES,vwap_on_j-1,directional_close_recross,10,595,884,tested,0.6319150768670272,0.44201680672268906,0.45475113122171945,0.912851286548062
ES,vwap_on_j-1,directional_close_recross,15,595,884,tested,0.5952231332599458,0.5310924369747899,0.5452488687782805,0.8727319552796586
ES,vwap_on_j-2,directional_close_recross,1,385,850,tested,1.0,0.0,0.0,1.0
ES,vwap_on_j-2,directional_close_recross,3,385,850,tested,0.31713333349981787,0.21558441558441557,0.19058823529411764,0.8435785343850275
