instrument,session,touch_time_bucket,approach_side,horizon_bars,barrier_atr,eligible_armed_excursions,touch_events,touch_rate,same_bar_rejection_count,same_bar_breakthrough_count,same_bar_neutral_count,same_bar_rejection_rate,same_bar_breakthrough_rate,same_bar_rej_minus_brk,same_bar_binom_p,median_signed_close_atr,median_rejection_exc_atr,median_breakthrough_exc_atr,median_dominance,p_rejection_exc_gt_breakthrough_exc,p_breakthrough_exc_gt_rejection_exc,post_touch_retouch_rate,barrier_rejection_first_n,barrier_breakthrough_first_n,barrier_tie_n,barrier_neither_n,barrier_rejection_first_rate,barrier_breakthrough_first_rate,barrier_tie_rate,barrier_neither_rate,barrier_rej_minus_brk_first_rate,barrier_nontied_n,barrier_binom_p,sample_status
ES,ASIA,SESSION_30_TO_60,FROM_ABOVE,24,0.5,194,228,1.175257731958763,112,116,0,0.49122807017543857,0.5087719298245614,-0.017543859649122806,0.8425681064325894,0.08873371625552376,1.6855438043012405,1.4858325415879823,0.1380539596484223,0.5526315789473685,0.4473684210526316,0.9342105263157895,125,98,5,0,0.5482456140350878,0.4298245614035088,0.021929824561403508,0.0,0.11842105263157898,223,0.08143605432914147,OK
ES,ASIA,SESSION_30_TO_60,FROM_ABOVE,24,1.0,194,228,1.175257731958763,112,116,0,0.49122807017543857,0.5087719298245614,-0.017543859649122806,0.8425681064325894,0.08873371625552376,1.6855438043012405,1.4858325415879823,0.1380539596484223,0.5526315789473685,0.4473684210526316,0.9342105263157895,115,109,1,3,0.5043859649122807,0.4780701754385965,0.0043859649122807015,0.013157894736842105,0.026315789473684237,224,0.7384057149811342,OK
ES,ASIA,SESSION_60_TO_120,FROM_ABOVE,1,0.5,441,508,1.1519274376417235,229,279,0,0.4507874015748031,0.5492125984251969,-0.0984251968503937,0.029603430363525904,-0.03432190606891054,0.4069282215730965,0.4658996967086068,-0.028901874125767807,0.47834645669291337,0.5216535433070866,0.9133858267716536,177,205,40,86,0.3484251968503937,0.4035433070866142,0.07874015748031496,0.16929133858267717,-0.055118110236220486,382,0.16705969438722482,OK
ES,ASIA,SESSION_60_TO_120,FROM_ABOVE,1,1.0,441,508,1.1519274376417235,229,279,0,0.4507874015748031,0.5492125984251969,-0.0984251968503937,0.029603430363525904,-0.03432190606891054,0.4069282215730965,0.4658996967086068,-0.028901874125767807,0.47834645669291337,0.5216535433070866,0.9133858267716536,80,109,5,314,0.15748031496062992,0.21456692913385828,0.00984251968503937,0.6181102362204725,-0.057086614173228356,189,0.04139561928397322,OK
ES,ASIA,SESSION_60_TO_120,FROM_ABOVE,2,0.5,441,508,1.1519274376417235,229,279,0,0.4507874015748031,0.5492125984251969,-0.0984251968503937,0.029603430363525904,0.03421544239726356,0.5730784733512095,0.6143782627615273,-0.018935821939961496,0.4921259842519685,0.5078740157480315,0.9133858267716536,210,227,45,26,0.41338582677165353,0.4468503937007874,0.08858267716535433,0.051181102362204724,-0.033464566929133854,437,0.4440793124390205,OK
ES,ASIA,SESSION_60_TO_120,FROM_ABOVE,2,1.0,441,508,1.1519274376417235,229,279,0,0.4507874015748031,0.5492125984251969,-0.0984251968503937,0.029603430363525904,0.03421544239726356,0.5730784733512095,0.6143782627615273,-0.018935821939961496,0.4921259842519685,0.5078740157480315,0.9133858267716536,138,160,6,204,0.27165354330708663,0.31496062992125984,0.011811023622047244,0.4015748031496063,-0.04330708661417321,298,0.22373381343897997,OK
ES,ASIA,SESSION_60_TO_120,FROM_ABOVE,3,0.5,441,508,1.1519274376417235,229,279,0,0.4507874015748031,0.5492125984251969,-0.0984251968503937,0.029603430363525904,0.054168093065667736,0.7418884021223306,0.7733977032051244,-0.007686359628254083,0.49606299212598426,0.5039370078740157,0.9133858267716536,217,234,48,9,0.4271653543307087,0.46062992125984253,0.09448818897637795,0.017716535433070866,-0.033464566929133854,451,0.451239657101963,OK
ES,ASIA,SESSION_60_TO_120,FROM_ABOVE,3,1.0,441,508,1.1519274376417235,229,279,0,0.4507874015748031,0.5492125984251969,-0.0984251968503937,0.029603430363525904,0.054168093065667736,0.7418884021223306,0.7733977032051244,-0.007686359628254083,0.49606299212598426,0.5039370078740157,0.9133858267716536,170,194,6,138,0.3346456692913386,0.38188976377952755,0.011811023622047244,0.27165354330708663,-0.04724409448818895,364,0.2279517380773736,OK
ES,ASIA,SESSION_60_TO_120,FROM_ABOVE,4,0.5,441,508,1.1519274376417235,229,279,0,0.4507874015748031,0.5492125984251969,-0.0984251968503937,0.029603430363525904,0.08163218173635582,0.8634862069660256,0.8976678213659808,-0.004403024549371124,0.49803149606299213,0.5019685039370079,0.9133858267716536,219,235,49,5,0.4311023622047244,0.4625984251968504,0.09645669291338582,0.00984251968503937,-0.031496062992125984,454,0.4814830380734972,OK
ES,ASIA,SESSION_60_TO_120,FROM_ABOVE,4,1.0,441,508,1.1519274376417235,229,279,0,0.4507874015748031,0.5492125984251969,-0.0984251968503937,0.029603430363525904,0.08163218173635582,0.8634862069660256,0.8976678213659808,-0.004403024549371124,0.49803149606299213,0.5019685039370079,0.9133858267716536,196,216,6,90,0.3858267716535433,0.4251968503937008,0.011811023622047244,0.17716535433070865,-0.03937007874015752,412,0.34925323464468255,OK
ES,ASIA,SESSION_60_TO_120,FROM_ABOVE,6,0.5,441,508,1.1519274376417235,229,279,0,0.4507874015748031,0.5492125984251969,-0.0984251968503937,0.029603430363525904,0.16147079867626452,1.1317685932285804,1.115373636337885,0.03086811663000671,0.5098425196850394,0.49015748031496065,0.9133858267716536,219,237,50,2,0.4311023622047244,0.46653543307086615,0.0984251968503937,0.003937007874015748,-0.035433070866141725,456,0.4260063436492419,OK
ES,ASIA,SESSION_60_TO_120,FROM_ABOVE,6,1.0,441,508,1.1519274376417235,229,279,0,0.4507874015748031,0.5492125984251969,-0.0984251968503937,0.029603430363525904,0.16147079867626452,1.1317685932285804,1.115373636337885,0.03086811663000671,0.5098425196850394,0.49015748031496065,0.9133858267716536,219,238,6,45,0.4311023622047244,0.468503937007874,0.011811023622047244,0.08858267716535433,-0.037401574803149595,457,0.39981072018453756,OK
ES,ASIA,SESSION_60_TO_120,FROM_ABOVE,9,0.5,441,508,1.1519274376417235,229,279,0,0.4507874015748031,0.5492125984251969,-0.0984251968503937,0.029603430363525904,0.22597396610269882,1.3908601524088864,1.4639405596168413,-0.01241812817805077,0.4921259842519685,0.5078740157480315,0.9133858267716536,219,237,50,2,0.4311023622047244,0.46653543307086615,0.0984251968503937,0.003937007874015748,-0.035433070866141725,456,0.4260063436492419,OK
ES,ASIA,SESSION_60_TO_120,FROM_ABOVE,9,1.0,441,508,1.1519274376417235,229,279,0,0.4507874015748031,0.5492125984251969,-0.0984251968503937,0.029603430363525904,0.22597396610269882,1.3908601524088864,1.4639405596168413,-0.01241812817805077,0.4921259842519685,0.5078740157480315,0.9133858267716536,234,253,6,15,0.46062992125984253,0.49803149606299213,0.011811023622047244,0.02952755905511811,-0.037401574803149595,487,0.41472280752657087,OK
